name	well	hour	A
BLK	B12	1	0.201
BLK	C12	1	0.193
BLK	D12	1	0.192
CTL	E8	1	2.147
CTL	E9	1	2.013
CTL	E10	1	2.031
CTL	F8	1	1.999
CTL	F9	1	1.446
CTL	F10	1	1.915
SMP01	B2	1	1.121
SMP01	B3	1	1.289
SMP01	B4	1	1.369
SMP02	C2	1	1.602
SMP02	C3	1	1.272
SMP02	C4	1	1.906
SMP03	D2	1	1.591
SMP03	D3	1	1.649
SMP03	D4	1	1.665
SMP04	E2	1	1.47
SMP04	E3	1	1.662
SMP04	E4	1	1.747
SMP05	F2	1	1.527
SMP05	F3	1	1.704
SMP05	F4	1	1.764
SMP06	G2	1	1.091
SMP06	G3	1	1.188
SMP06	G4	1	1.652
SMP07	B5	1	0.27
SMP07	B6	1	0.27
SMP07	B7	1	0.274
SMP08	C5	1	1.022
SMP08	C6	1	1.01
SMP08	C7	1	1.202
SMP09	D5	1	1.998
SMP09	D6	1	1.958
SMP09	D7	1	2.219
SMP10	E5	1	1.77
SMP10	E6	1	2.061
SMP10	E7	1	1.978
SMP11	F5	1	1.817
SMP11	F6	1	1.714
SMP11	F7	1	2.164
SMP12	G5	1	1.247
SMP12	G6	1	1.806
SMP12	G7	1	1.834
SMP13	B8	1	1.193
SMP13	B9	1	1.231
SMP13	B10	1	1.17
SMP14	C8	1	1.764
SMP14	C9	1	2.086
SMP14	C10	1	2.086
SMP15	D8	1	2.081
SMP15	D9	1	2.198
SMP15	D10	1	2.176
SMP16	G8	1	1.261
SMP16	G9	1	1.322
SMP16	G10	1	1.813
SMP17	B11	1	0.244
SMP17	C11	1	0.248
SMP17	D11	1	0.255
SMP17	E11	1	0.257
SMP17	F11	1	0.274
SMP17	G11	1	0.248
BLK	B12	4	0.183
BLK	C12	4	0.187
BLK	D12	4	0.19
CTL	E8	4	2.226
CTL	E9	4	2.142
CTL	E10	4	1.79
CTL	F8	4	1.653
CTL	F9	4	1.967
CTL	F10	4	1.75
SMP01	B2	4	1.835
SMP01	B3	4	1.526
SMP01	B4	4	1.914
SMP02	C2	4	2.01
SMP02	C3	4	2.331
SMP02	C4	4	2.273
SMP03	D2	4	2.124
SMP03	D3	4	2.283
SMP03	D4	4	2.337
SMP04	E2	4	1.892
SMP04	E3	4	2.063
SMP04	E4	4	2.006
SMP05	F2	4	1.769
SMP05	F3	4	1.492
SMP05	F4	4	1.883
SMP06	G2	4	1.537
SMP06	G3	4	1.397
SMP06	G4	4	1.591
SMP07	B5	4	0.233
SMP07	B6	4	0.233
SMP07	B7	4	0.24
SMP08	C5	4	0.542
SMP08	C6	4	0.565
SMP08	C7	4	0.537
SMP09	D5	4	2.207
SMP09	D6	4	2.007
SMP09	D7	4	2.087
SMP10	E5	4	2.094
SMP10	E6	4	2.195
SMP10	E7	4	2.092
SMP11	F5	4	1.784
SMP11	F6	4	1.523
SMP11	F7	4	1.319
SMP12	G5	4	1.727
SMP12	G6	4	1.186
SMP12	G7	4	1.539
SMP13	B8	4	0.54
SMP13	B9	4	0.633
SMP13	B10	4	0.688
SMP14	C8	4	2.118
SMP14	C9	4	2.346
SMP14	C10	4	2.45
SMP15	D8	4	2.382
SMP15	D9	4	2.495
SMP15	D10	4	2.54
SMP16	G8	4	NA
SMP16	G9	4	1.444
SMP16	G10	4	1.395
SMP17	B11	4	0.271
SMP17	C11	4	0.277
SMP17	D11	4	0.279
SMP17	E11	4	0.266
SMP17	F11	4	0.271
SMP17	G11	4	0.245
BLK	B12	24	0.173
BLK	C12	24	0.185
BLK	D12	24	0.175
CTL	E8	24	2.141
CTL	E9	24	2.474
CTL	E10	24	2.416
CTL	F8	24	2.309
CTL	F9	24	2.373
CTL	F10	24	2.664
SMP01	B2	24	1.445
SMP01	B3	24	1.669
SMP01	B4	24	1.446
SMP02	C2	24	1.645
SMP02	C3	24	1.509
SMP02	C4	24	NA
SMP03	D2	24	1.946
SMP03	D3	24	1.545
SMP03	D4	24	2.613
SMP04	E2	24	2.023
SMP04	E3	24	1.948
SMP04	E4	24	2.046
SMP05	F2	24	1.794
SMP05	F3	24	2.726
SMP05	F4	24	2.514
SMP06	G2	24	1.854
SMP06	G3	24	1.519
SMP06	G4	24	1.634
SMP07	B5	24	0.282
SMP07	B6	24	0.219
SMP07	B7	24	0.213
SMP08	C5	24	0.318
SMP08	C6	24	0.332
SMP08	C7	24	0.312
SMP09	D5	24	2.617
SMP09	D6	24	2.222
SMP09	D7	24	2.408
SMP10	E5	24	2.477
SMP10	E6	24	2.207
SMP10	E7	24	2.733
SMP11	F5	24	2.22
SMP11	F6	24	2.313
SMP11	F7	24	2.641
SMP12	G5	24	1.499
SMP12	G6	24	1.622
SMP12	G7	24	1.524
SMP13	B8	24	0.381
SMP13	B9	24	0.406
SMP13	B10	24	0.373
SMP14	C8	24	2.413
SMP14	C9	24	2.201
SMP14	C10	24	2.221
SMP15	D8	24	2.252
SMP15	D9	24	2.736
SMP15	D10	24	2.341
SMP16	G8	24	1.75
SMP16	G9	24	1.63
SMP16	G10	24	1.579
SMP17	B11	24	0.278
SMP17	C11	24	0.273
SMP17	D11	24	0.277
SMP17	E11	24	0.354
SMP17	F11	24	0.259
SMP17	G11	24	0.269
