		Experiment ID: 1206181817D1
Time-Interval(Hour)	Time-Interval	Y (A1)	Y (A2)	Y (B1)	Y (B2)	Y (C1)	Y (C2)	Y (D1)	Y (D2)	Y (E1)	Y (E2)	Y (F1)	Y (F2)	Y (G1)	Y (G2)	Y (H1)	Y (H2)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0003	-0.0026	0.0003	-0.0014	0.0010	-0.0016	0.0047	0.0057	0.0048	0.0037	0.0000	-0.0021	0.0018	0.0003	0.0013	-0.0047
0.6356	00:38:08	0.0111	-0.0027	0.0137	0.0067	0.0014	-0.0156	0.0223	0.0198	0.0249	0.0160	0.0109	0.0053	0.0089	0.0103	0.0094	-0.0017
0.7025	00:42:09	0.0147	-0.0035	0.0183	0.0110	0.0157	-0.0019	0.0348	0.0342	0.0370	0.0341	0.0234	0.0223	0.0169	0.0184	0.0080	-0.0049
0.7694	00:46:10	0.0232	0.0032	0.0262	0.0214	0.0245	0.0122	0.0447	0.0454	0.0465	0.0453	0.0296	0.0314	0.0202	0.0222	0.0119	0.0018
0.8364	00:50:11	0.0309	0.0074	0.0375	0.0277	0.0336	0.0242	0.0558	0.0596	0.0614	0.0591	0.0390	0.0424	0.0270	0.0323	0.0182	0.0106
0.9033	00:54:12	0.0347	0.0086	0.0420	0.0314	0.0461	0.0357	0.0680	0.0712	0.0755	0.0732	0.0505	0.0516	0.0343	0.0419	0.0201	0.0119
0.9703	00:58:13	0.0349	0.0127	0.0507	0.0359	0.0545	0.0425	0.0734	0.0816	0.0845	0.0824	0.0562	0.0555	0.0389	0.0456	0.0218	0.0140
1.0372	01:02:14	0.0397	0.0125	0.0484	0.0372	0.0643	0.0526	0.0789	0.0853	0.0883	0.0886	0.0619	0.0618	0.0414	0.0490	0.0215	0.0117
1.1042	01:06:15	0.0412	0.0122	0.0486	0.0393	0.0698	0.0595	0.0839	0.0883	0.0940	0.0978	0.0664	0.0637	0.0443	0.0509	0.0219	0.0085
1.1711	01:10:16	0.0355	0.0062	0.0461	0.0367	0.0749	0.0597	0.0857	0.0971	0.0978	0.1027	0.0643	0.0579	0.0430	0.0459	0.0196	-0.0004
1.2381	01:14:17	0.0360	0.0062	0.0430	0.0337	0.0772	0.0650	0.0844	0.0960	0.0962	0.1028	0.0615	0.0575	0.0397	0.0457	0.0167	-0.0064
1.3050	01:18:18	0.0369	0.0107	0.0471	0.0379	0.0781	0.0657	0.0833	0.0989	0.0941	0.1026	0.0610	0.0610	0.0424	0.0473	0.0183	-0.0042
1.3719	01:22:19	0.0408	0.0136	0.0514	0.0404	0.0834	0.0678	0.0889	0.1031	0.0991	0.1051	0.0679	0.0648	0.0465	0.0533	0.0213	-0.0044
1.4389	01:26:20	0.0420	0.0185	0.0567	0.0473	0.0842	0.0683	0.0890	0.1067	0.1015	0.1032	0.0691	0.0687	0.0487	0.0552	0.0239	0.0005
1.5058	01:30:21	0.0450	0.0219	0.0600	0.0511	0.0903	0.0689	0.0970	0.1092	0.1095	0.1105	0.0757	0.0722	0.0557	0.0595	0.0291	0.0007
1.5728	01:34:22	0.0480	0.0264	0.0628	0.0570	0.0919	0.0707	0.1023	0.1122	0.1148	0.1127	0.0775	0.0762	0.0589	0.0630	0.0307	0.0040
1.6397	01:38:23	0.0519	0.0298	0.0674	0.0582	0.0924	0.0733	0.1045	0.1147	0.1172	0.1135	0.0802	0.0827	0.0620	0.0641	0.0322	0.0064
1.7067	01:42:24	0.0587	0.0329	0.0709	0.0610	0.0986	0.0764	0.1120	0.1180	0.1225	0.1182	0.0842	0.0876	0.0670	0.0696	0.0351	0.0082
1.7736	01:46:25	0.0646	0.0366	0.0728	0.0640	0.1017	0.0800	0.1147	0.1217	0.1271	0.1220	0.0879	0.0934	0.0704	0.0737	0.0394	0.0089
1.8406	01:50:26	0.0673	0.0434	0.0767	0.0690	0.1015	0.0806	0.1170	0.1255	0.1316	0.1262	0.0921	0.0962	0.0735	0.0750	0.0410	0.0111
1.9075	01:54:27	0.0739	0.0456	0.0785	0.0687	0.1041	0.0859	0.1192	0.1252	0.1304	0.1292	0.0945	0.1023	0.0746	0.0801	0.0428	0.0125
1.9744	01:58:28	0.0754	0.0521	0.0831	0.0747	0.1022	0.0859	0.1191	0.1290	0.1347	0.1293	0.0930	0.1052	0.0784	0.0804	0.0446	0.0162
2.0414	02:02:29	0.0802	0.0532	0.0859	0.0758	0.1088	0.0911	0.1270	0.1311	0.1369	0.1357	0.0996	0.1074	0.0835	0.0850	0.0493	0.0150
2.1083	02:06:30	0.0832	0.0568	0.0883	0.0775	0.1107	0.0919	0.1288	0.1318	0.1411	0.1379	0.1012	0.1125	0.0852	0.0875	0.0516	0.0178
2.1753	02:10:31	0.0870	0.0602	0.0930	0.0813	0.1117	0.0931	0.1326	0.1371	0.1456	0.1436	0.1050	0.1135	0.0889	0.0906	0.0525	0.0188
2.2422	02:14:32	0.0915	0.0615	0.0942	0.0835	0.1129	0.0983	0.1352	0.1385	0.1455	0.1416	0.1073	0.1199	0.0900	0.0931	0.0545	0.0216
2.3092	02:18:33	0.0930	0.0653	0.0981	0.0832	0.1155	0.1022	0.1383	0.1405	0.1493	0.1471	0.1104	0.1210	0.0920	0.0971	0.0577	0.0224
2.3761	02:22:34	0.0939	0.0722	0.1019	0.0889	0.1153	0.1008	0.1371	0.1463	0.1519	0.1464	0.1107	0.1229	0.0944	0.0958	0.0590	0.0278
2.4431	02:26:35	0.0992	0.0725	0.1019	0.0916	0.1163	0.1037	0.1387	0.1505	0.1530	0.1475	0.1113	0.1269	0.0964	0.0994	0.0583	0.0291
2.5100	02:30:36	0.1016	0.0760	0.1054	0.0941	0.1189	0.1067	0.1436	0.1517	0.1553	0.1515	0.1146	0.1285	0.0992	0.1014	0.0603	0.0312
2.5769	02:34:37	0.1051	0.0790	0.1074	0.0965	0.1212	0.1094	0.1459	0.1537	0.1562	0.1542	0.1173	0.1328	0.1001	0.1063	0.0624	0.0323
2.6439	02:38:38	0.1093	0.0809	0.1120	0.0970	0.1229	0.1129	0.1482	0.1541	0.1607	0.1556	0.1201	0.1340	0.1034	0.1098	0.0644	0.0341
2.7108	02:42:39	0.1114	0.0827	0.1130	0.0987	0.1272	0.1167	0.1502	0.1566	0.1620	0.1619	0.1240	0.1381	0.1058	0.1128	0.0661	0.0354
2.7778	02:46:40	0.1132	0.0882	0.1195	0.1036	0.1283	0.1157	0.1544	0.1624	0.1700	0.1666	0.1280	0.1374	0.1083	0.1151	0.0703	0.0382
