		Experiment ID: 1302271013D1
Time-Interval(Hour)	Time-Interval	Y (A1)	Y (A2)	Y (B1)	Y (B2)	Y (C1)	Y (C2)	Y (D1)	Y (D2)	Y (E1)	Y (E2)	Y (F1)	Y (F2)	Y (G1)	Y (G2)	Y (H1)	Y (H2)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0001	-0.0031	0.0017	-0.0020	-0.0015	0.0008	-0.0008	-0.0054	0.0002	0.0003	0.0009	0.0033	-0.0011	0.0019	0.0014	-0.0017
0.6550	00:39:18	0.3380	0.2905	0.3452	0.3013	0.3153	0.2886	0.3228	0.2815	0.3324	0.2527	0.2491	0.3418	0.3128	0.2623	0.3103	0.2779
0.7386	00:44:19	0.3275	0.2946	0.3747	0.3377	0.3610	0.3404	0.3672	0.3362	0.3754	0.3088	0.2915	0.3879	0.3491	0.3058	0.2985	0.2826
0.8219	00:49:19	0.3228	0.2981	0.3681	0.3390	0.3619	0.3485	0.3780	0.3474	0.3858	0.3211	0.3172	0.4058	0.3466	0.3086	0.2890	0.2775
0.9053	00:54:19	0.3469	0.3198	0.3805	0.3481	0.3745	0.3573	0.3874	0.3512	0.3955	0.3293	0.3382	0.4177	0.3614	0.3253	0.2948	0.2999
0.9886	00:59:19	0.3916	0.3555	0.4234	0.3786	0.4059	0.3827	0.4126	0.3756	0.4203	0.3514	0.3603	0.4409	0.3993	0.3606	0.3154	0.3348
1.0719	01:04:19	0.4285	0.3977	0.4624	0.4088	0.4442	0.4140	0.4424	0.4048	0.4555	0.3869	0.3898	0.4700	0.4446	0.4006	0.3499	0.3728
1.1553	01:09:19	0.4662	0.4294	0.5076	0.4358	0.4809	0.4433	0.4808	0.4409	0.4889	0.4233	0.4175	0.4999	0.4770	0.4368	0.3786	0.3969
1.2386	01:14:19	0.4982	0.4576	0.5452	0.4638	0.5166	0.4691	0.5111	0.4716	0.5202	0.4674	0.4385	0.5217	0.5085	0.4674	0.4033	0.4225
1.3219	01:19:19	0.5338	0.4816	0.5804	0.4889	0.5457	0.4930	0.5380	0.5012	0.5518	0.4919	0.4613	0.5406	0.5364	0.4956	0.4293	0.4470
1.4053	01:24:19	0.5642	0.5069	0.6075	0.5121	0.5745	0.5190	0.5480	0.5237	0.5864	0.5146	0.4843	0.5487	0.5646	0.5240	0.4591	0.4790
1.4886	01:29:19	0.5895	0.5281	0.6317	0.5337	0.6016	0.5380	0.5296	0.5462	0.6114	0.5324	0.4999	0.5367	0.5840	0.5487	0.4835	0.5050
1.5719	01:34:19	0.6078	0.5486	0.6501	0.5515	0.6195	0.5544	0.5488	0.5683	0.6331	0.5513	0.5193	0.5539	0.6018	0.5673	0.4995	0.5167
1.6553	01:39:19	0.6274	0.5595	0.6675	0.5703	0.6358	0.5681	0.5622	0.5836	0.6512	0.5729	0.5342	0.5655	0.6169	0.5879	0.5113	0.5132
1.7386	01:44:19	0.6372	0.5698	0.6820	0.5830	0.6524	0.5801	0.5783	0.5981	0.6658	0.5854	0.5474	0.5755	0.6237	0.6010	0.5193	0.5232
1.8219	01:49:19	0.6460	0.5751	0.6950	0.5967	0.6633	0.5915	0.5943	0.6101	0.6761	0.6000	0.5538	0.5852	0.6315	0.6075	0.5271	0.5290
1.9053	01:54:19	0.6532	0.5797	0.7021	0.6052	0.6736	0.6020	0.6000	0.6153	0.6877	0.6107	0.5641	0.5897	0.6417	0.6134	0.5332	0.5350
1.9886	01:59:19	0.6574	0.5824	0.7060	0.6122	0.6793	0.6088	0.6080	0.6249	0.6615	0.6197	0.5694	0.5955	0.6428	0.6206	0.5367	0.5386
2.0719	02:04:19	0.6621	0.5833	0.7094	0.6166	0.6830	0.6129	0.6135	0.6287	0.6582	0.6242	0.5776	0.5941	0.6461	0.6243	0.5402	0.5426
2.1553	02:09:19	0.6607	0.5840	0.7091	0.6155	0.6821	0.6163	0.6132	0.6334	0.6660	0.6238	0.5821	0.5955	0.6497	0.6271	0.5418	0.5449
2.2386	02:14:19	0.6603	0.5836	0.7118	0.6180	0.6833	0.6179	0.6174	0.6373	0.6677	0.6267	0.5851	0.5949	0.6485	0.6261	0.5457	0.5479
2.3219	02:19:19	0.6650	0.5831	0.7068	0.6214	0.6842	0.6237	0.6150	0.6324	0.6653	0.6274	0.5884	0.5934	0.6492	0.6264	0.5460	0.5479
2.4053	02:24:19	0.6614	0.5849	0.7091	0.6237	0.6837	0.6237	0.6182	0.6373	0.6687	0.6284	0.5878	0.5936	0.6423	0.6251	0.5458	0.5482
2.4886	02:29:19	0.6639	0.5816	0.7058	0.6240	0.6813	0.6250	0.6184	0.6344	0.6677	0.6295	0.5885	0.5920	0.6429	0.6236	0.5460	0.5498
2.5722	02:34:20	0.6619	0.5837	0.7069	0.6267	0.6815	0.6257	0.6193	0.6373	0.6689	0.6266	0.5886	0.5920	0.6421	0.6228	0.5498	0.5510
2.6556	02:39:20	0.6649	0.5837	0.7098	0.6336	0.6863	0.6302	0.6227	0.6376	0.6658	0.6329	0.5902	0.5952	0.6291	0.6212	0.5489	0.5528
2.7389	02:44:20	0.6656	0.5890	0.7092	0.6346	0.6863	0.6312	0.6267	0.6401	0.6732	0.6323	0.5903	0.5955	0.6298	0.6244	0.5573	0.5580
2.8225	02:49:21	0.6719	0.5934	0.7116	0.6414	0.6915	0.6378	0.6306	0.6412	0.6717	0.6366	0.5946	0.5983	0.6322	0.6289	0.5591	0.5610
2.9058	02:54:21	0.6795	0.5966	0.7166	0.6481	0.6965	0.6446	0.6368	0.6416	0.6775	0.6397	0.6010	0.6011	0.6356	0.6323	0.5658	0.5669
2.9892	02:59:21	0.6896	0.6051	0.7231	0.6539	0.7008	0.6481	0.6407	0.6480	0.6842	0.6424	0.6084	0.6091	0.6429	0.6391	0.5778	0.5766
3.0725	03:04:21	0.7008	0.6117	0.7304	0.6617	0.7075	0.6587	0.6488	0.6545	0.6956	0.6486	0.6184	0.6186	0.6501	0.6485	0.5903	0.5847
3.1558	03:09:21	0.7169	0.6229	0.7431	0.6741	0.7184	0.6709	0.6568	0.6628	0.7049	0.6570	0.6280	0.6310	0.6612	0.6587	0.6021	0.5956
3.2392	03:14:21	0.7286	0.6403	0.7616	0.6940	0.7335	0.6835	0.6703	0.6798	0.7157	0.6717	0.6364	0.6434	0.6654	0.6730	0.6152	0.6074
3.3225	03:19:21	0.7491	0.6568	0.7772	0.7091	0.7496	0.6996	0.6828	0.6936	0.7307	0.6857	0.6527	0.6590	0.6821	0.6863	0.6296	0.6216
3.4058	03:24:21	0.7690	0.6794	0.7994	0.7295	0.7670	0.7130	0.7031	0.7186	0.7482	0.6986	0.6686	0.6777	0.6967	0.7079	0.6466	0.6426
3.4892	03:29:21	0.7922	0.6992	0.8187	0.7518	0.7911	0.7351	0.7203	0.7338	0.7636	0.7188	0.6848	0.6948	0.7112	0.7257	0.6647	0.6596
3.5725	03:34:21	0.8147	0.7237	0.8456	0.7751	0.8152	0.7569	0.7419	0.7549	0.7847	0.7393	0.7040	0.7191	0.7336	0.7478	0.6854	0.6804
3.6558	03:39:21	0.8438	0.7523	0.8720	0.7987	0.8365	0.7784	0.7611	0.7828	0.8123	0.7566	0.7278	0.7442	0.7589	0.7730	0.7095	0.7063
3.7392	03:44:21	0.8690	0.7823	0.9015	0.8285	0.8662	0.8059	0.7892	0.8053	0.8362	0.7829	0.7476	0.7666	0.7814	0.7956	0.7323	0.7291
3.8225	03:49:21	0.8995	0.8093	0.9290	0.8570	0.8940	0.8303	0.8132	0.8307	0.8623	0.8031	0.7744	0.7950	0.8076	0.8227	0.7567	0.7540
3.9058	03:54:21	0.9274	0.8411	0.9623	0.8879	0.9219	0.8580	0.8415	0.8590	0.8901	0.8300	0.7984	0.8248	0.8344	0.8494	0.7838	0.7798
3.9892	03:59:21	0.9582	0.8678	0.9900	0.9151	0.9465	0.8861	0.8655	0.8858	0.9197	0.8509	0.8268	0.8520	0.8611	0.8783	0.8094	0.8036
4.0725	04:04:21	0.9843	0.8978	1.0208	0.9488	0.9762	0.9134	0.8953	0.9140	0.9457	0.8776	0.8550	0.8799	0.8885	0.9068	0.8370	0.8327
4.1558	04:09:21	1.0159	0.9257	1.0500	0.9724	1.0022	0.9388	0.9218	0.9443	0.9788	0.9018	0.8834	0.9126	0.9162	0.9325	0.8647	0.8596
4.2392	04:14:21	1.0385	0.9525	1.0813	1.0019	1.0314	0.9677	0.9488	0.9681	1.0019	0.9291	0.9050	0.9359	0.9419	0.9576	0.8906	0.8845
4.3225	04:19:21	1.0632	0.9785	1.1082	1.0275	1.0560	0.9956	0.9765	0.9928	1.0311	0.9513	0.9321	0.9635	0.9646	0.9813	0.9161	0.9086
4.4058	04:24:21	1.0885	1.0049	1.1316	1.0506	1.0811	1.0162	1.0020	1.0240	1.0603	0.9743	0.9628	0.9934	0.9917	1.0069	0.9446	0.9331
4.4892	04:29:21	1.1109	1.0292	1.1606	1.0801	1.1084	1.0427	1.0227	1.0451	1.0830	0.9978	0.9871	1.0153	1.0116	1.0284	0.9657	0.9558
4.5725	04:34:21	1.1351	1.0494	1.1842	1.1004	1.1276	1.0622	1.0487	1.0694	1.1101	1.0138	1.0128	1.0472	1.0372	1.0508	0.9881	0.9777
4.6558	04:39:21	1.1551	1.0751	1.2106	1.1255	1.1564	1.0861	1.0729	1.0877	1.1305	1.0384	1.0319	1.0685	1.0579	1.0697	1.0079	0.9977
4.7392	04:44:21	1.1803	1.0938	1.2262	1.1444	1.1790	1.1066	1.0953	1.1155	1.1556	1.0556	1.0584	1.0964	1.0809	1.0904	1.0273	1.0190
4.8228	04:49:22	1.1965	1.1136	1.2533	1.1666	1.2039	1.1310	1.1157	1.1302	1.1772	1.0755	1.0762	1.1158	1.0948	1.1056	1.0464	1.0355
4.9061	04:54:22	1.2224	1.1341	1.2767	1.1869	1.2243	1.1466	1.1363	1.1466	1.1978	1.0897	1.0976	1.1371	1.1165	1.1283	1.0637	1.0515
4.9894	04:59:22	1.2404	1.1537	1.2962	1.2059	1.2449	1.1629	1.1565	1.1719	1.2186	1.1054	1.1170	1.1651	1.1334	1.1464	1.0836	1.0751
5.0728	05:04:22	1.2596	1.1707	1.3179	1.2250	1.2604	1.1806	1.1726	1.1857	1.2382	1.1250	1.1413	1.1887	1.1521	1.1667	1.1018	1.0937
5.1561	05:09:22	1.2776	1.1904	1.3423	1.2440	1.2811	1.1970	1.1922	1.2044	1.2558	1.1414	1.1560	1.2084	1.1690	1.1788	1.1191	1.1143
5.2394	05:14:22	1.2938	1.2043	1.3593	1.2609	1.2963	1.2123	1.2095	1.2225	1.2777	1.1552	1.1819	1.2331	1.1876	1.1950	1.1343	1.1287
5.3228	05:19:22	1.3107	1.2244	1.3805	1.2845	1.3175	1.2327	1.2277	1.2409	1.2943	1.1750	1.2009	1.2537	1.2028	1.2118	1.1545	1.1426
