		Experiment ID: 1204100146D2
Time-Interval(Hour)	Time-Interval	Y (A3)	Y (A4)	Y (B3)	Y (B4)	Y (C3)	Y (C4)	Y (D3)	Y (D4)	Y (E3)	Y (E4)	Y (F3)	Y (F4)	Y (G3)	Y (G4)	Y (H3)	Y (H4)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0013	-0.0029	0.0000	0.0005	0.0045	-0.0026	0.0022	-0.0023	-0.0008	-0.0001	-0.0013	0.0005	-0.0009	-0.0021	-0.0009	0.0001
0.9456	00:56:44	0.0860	0.0675	0.0243	0.0232	0.0207	-0.0193	-0.0303	-0.0221	-0.0155	-0.0254	-0.0028	-0.0045	0.0010	0.0072	0.0210	0.0300
1.1125	01:06:45	0.0695	0.0708	0.0226	0.0074	0.0382	-0.0135	-0.0029	-0.0126	-0.0024	-0.0085	0.0019	-0.0029	-0.0059	-0.0035	-0.0018	0.0068
1.2794	01:16:46	0.0998	0.0930	0.0285	0.0193	0.0509	0.0011	0.0088	0.0053	0.0170	0.0186	0.0180	0.0105	0.0040	0.0037	0.0054	0.0229
1.4464	01:26:47	0.1468	0.1120	0.0596	0.0307	0.0867	0.0243	0.0329	0.0234	0.0415	0.0282	0.0373	0.0243	0.0147	0.0183	0.0102	0.0289
1.6131	01:36:47	0.1931	0.1395	0.0842	0.0560	0.1186	0.0252	0.0553	0.0336	0.0595	0.0426	0.0443	0.0372	0.0310	0.0304	0.0217	0.0463
1.7800	01:46:48	0.2402	0.1627	0.1062	0.0759	0.1450	0.0370	0.0720	0.0464	0.0748	0.0553	0.0578	0.0499	0.0452	0.0444	0.0347	0.0584
1.9469	01:56:49	0.2807	0.1838	0.1312	0.0925	0.1756	0.0494	0.0831	0.0582	0.0884	0.0683	0.0701	0.0618	0.0543	0.0579	0.0423	0.0664
2.1139	02:06:50	0.3095	0.2005	0.1468	0.1064	0.1947	0.0588	0.0928	0.0688	0.0957	0.0711	0.0799	0.0682	0.0610	0.0667	0.0463	0.0727
2.2808	02:16:51	0.3328	0.2203	0.1653	0.1163	0.2128	0.0614	0.0983	0.0712	0.1093	0.0824	0.0870	0.0775	0.0695	0.0719	0.0543	0.0819
2.4478	02:26:52	0.3458	0.2362	0.1711	0.1229	0.2230	0.0654	0.1025	0.0767	0.1141	0.0833	0.0913	0.0826	0.0719	0.0782	0.0547	0.0862
2.6147	02:36:53	0.3534	0.2479	0.1714	0.1274	0.2266	0.0719	0.1127	0.0838	0.1101	0.0814	0.0947	0.0827	0.0732	0.0837	0.0539	0.0877
2.7817	02:46:54	0.3593	0.2612	0.1748	0.1330	0.2290	0.0714	0.1144	0.0818	0.1163	0.0804	0.0981	0.0829	0.0760	0.0834	0.0536	0.0918
