		Experiment ID: 1207271559D2
Time-Interval(Hour)	Time-Interval	Y (A3)	Y (A4)	Y (B3)	Y (B4)	Y (C3)	Y (C4)	Y (D3)	Y (D4)	Y (E3)	Y (E4)	Y (F3)	Y (F4)	Y (G3)	Y (G4)	Y (H3)	Y (H4)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0008	00:00:03	0.0001	0.0011	-0.0013	0.0006	-0.0012	0.0007	-0.0018	0.0002	0.0017	0.0004	-0.0001	-0.0014	0.0007	-0.0003	-0.0018	-0.0008
0.6186	00:37:07	-0.0037	-0.0046	-0.0355	-0.0084	-0.0038	-0.0050	0.0003	0.0054	-0.0016	-0.0106	-0.0127	-0.0099	-0.0446	-0.0118	0.0019	0.0003
0.6686	00:40:07	-0.0058	-0.0097	-0.0293	-0.0010	0.0060	0.0066	0.0125	0.0172	0.0077	0.0071	-0.0016	-0.0018	-0.0384	-0.0043	-0.0014	-0.0030
0.7181	00:43:05	-0.0093	-0.0167	-0.0306	0.0046	0.0107	0.0080	0.0236	0.0266	0.0217	0.0115	0.0032	0.0097	-0.0382	-0.0036	-0.0022	-0.0061
0.7681	00:46:05	0.0015	-0.0070	-0.0266	0.0098	0.0139	0.0153	0.0280	0.0367	0.0294	0.0221	0.0105	0.0155	-0.0375	0.0017	0.0088	0.0085
0.8181	00:49:05	0.0180	0.0076	-0.0116	0.0262	0.0269	0.0351	0.0475	0.0575	0.0494	0.0413	0.0255	0.0317	-0.0236	0.0172	0.0218	0.0297
0.8681	00:52:05	0.0386	0.0272	0.0092	0.0482	0.0471	0.0561	0.0695	0.0810	0.0716	0.0631	0.0490	0.0561	-0.0029	0.0407	0.0415	0.0521
0.9181	00:55:05	0.0629	0.0450	0.0313	0.0733	0.0730	0.0827	0.0939	0.1066	0.0970	0.0910	0.0770	0.0839	0.0224	0.0703	0.0632	0.0738
0.9681	00:58:05	0.0825	0.0631	0.0567	0.1013	0.1003	0.1106	0.1234	0.1375	0.1283	0.1172	0.1057	0.1120	0.0481	0.1015	0.0807	0.0969
1.0181	01:01:05	0.1020	0.0814	0.0816	0.1298	0.1284	0.1404	0.1536	0.1677	0.1585	0.1454	0.1334	0.1407	0.0723	0.1291	0.0981	0.1178
1.0681	01:04:05	0.1183	0.0968	0.1089	0.1590	0.1578	0.1676	0.1851	0.1987	0.1922	0.1680	0.1587	0.1677	0.0957	0.1526	0.1120	0.1394
1.1181	01:07:05	0.1351	0.1126	0.1316	0.1857	0.1821	0.1946	0.2099	0.2214	0.2225	0.1952	0.1863	0.1914	0.1150	0.1742	0.1282	0.1575
1.1681	01:10:05	0.1569	0.1323	0.1486	0.2152	0.2066	0.2121	0.2349	0.2449	0.2445	0.2164	0.2116	0.2207	0.1379	0.1998	0.1463	0.1717
1.2181	01:13:05	0.1754	0.1493	0.1664	0.2416	0.2286	0.2365	0.2589	0.2693	0.2718	0.2356	0.2371	0.2451	0.1551	0.2198	0.1623	0.1900
1.2681	01:16:05	0.1928	0.1679	0.1879	0.2622	0.2458	0.2587	0.2799	0.2849	0.2972	0.2615	0.2635	0.2668	0.1702	0.2367	0.1755	0.2045
1.3181	01:19:05	0.2114	0.1850	0.2009	0.2902	0.2711	0.2770	0.3018	0.3044	0.3167	0.2774	0.2862	0.2885	0.1902	0.2528	0.1893	0.2156
1.3683	01:22:06	0.2242	0.2019	0.2194	0.3100	0.2898	0.2966	0.3249	0.3176	0.3383	0.2962	0.3079	0.3052	0.2003	0.2651	0.2006	0.2298
1.4186	01:25:07	0.2439	0.2188	0.2296	0.3322	0.3053	0.3095	0.3429	0.3339	0.3555	0.3083	0.3303	0.3293	0.2137	0.2802	0.2141	0.2390
1.4689	01:28:08	0.2559	0.2305	0.2414	0.3461	0.3209	0.3213	0.3599	0.3469	0.3711	0.3240	0.3483	0.3431	0.2257	0.2873	0.2209	0.2476
1.5192	01:31:09	0.2691	0.2429	0.2525	0.3619	0.3313	0.3297	0.3756	0.3567	0.3817	0.3352	0.3650	0.3604	0.2375	0.3004	0.2308	0.2528
1.5694	01:34:10	0.2810	0.2535	0.2607	0.3752	0.3472	0.3411	0.3927	0.3637	0.3983	0.3441	0.3798	0.3709	0.2483	0.3045	0.2388	0.2594
1.6197	01:37:11	0.2932	0.2682	0.2699	0.3827	0.3558	0.3519	0.4047	0.3693	0.4052	0.3551	0.3991	0.3841	0.2542	0.3084	0.2476	0.2674
1.6700	01:40:12	0.3066	0.2821	0.2785	0.3923	0.3686	0.3585	0.4152	0.3786	0.4149	0.3647	0.4103	0.3922	0.2641	0.3156	0.2583	0.2725
1.7203	01:43:13	0.3182	0.2924	0.2815	0.4056	0.3790	0.3634	0.4284	0.3852	0.4245	0.3717	0.4191	0.3987	0.2730	0.3213	0.2698	0.2796
1.7706	01:46:14	0.3284	0.3031	0.2890	0.4211	0.3916	0.3724	0.4443	0.3965	0.4387	0.3761	0.4305	0.4085	0.2847	0.3272	0.2786	0.2896
1.8208	01:49:15	0.3407	0.3136	0.2988	0.4282	0.4029	0.3780	0.4524	0.4052	0.4506	0.3860	0.4400	0.4201	0.2928	0.3361	0.2859	0.2970
1.8711	01:52:16	0.3496	0.3228	0.3094	0.4348	0.4116	0.3917	0.4646	0.4145	0.4613	0.3934	0.4526	0.4300	0.3014	0.3443	0.2923	0.3034
1.9214	01:55:17	0.3601	0.3351	0.3220	0.4450	0.4209	0.4049	0.4762	0.4265	0.4727	0.4075	0.4725	0.4367	0.3097	0.3509	0.2991	0.3140
1.9717	01:58:18	0.3739	0.3484	0.3328	0.4556	0.4301	0.4153	0.4858	0.4358	0.4853	0.4199	0.4874	0.4506	0.3173	0.3587	0.3078	0.3230
