		Experiment ID: 1207271600D3
Time-Interval(Hour)	Time-Interval	Y (A5)	Y (A6)	Y (B5)	Y (B6)	Y (C5)	Y (C6)	Y (D5)	Y (D6)	Y (E5)	Y (E6)	Y (F5)	Y (F6)	Y (G5)	Y (G6)	Y (H5)	Y (H6)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0013	-0.0009	-0.0012	-0.0002	-0.0006	-0.0008	-0.0045	0.0032	0.0013	-0.0030	0.0023	-0.0006	0.0014	0.0011	-0.0008	0.0014
0.6150	00:36:54	-0.0083	-0.0001	-0.0031	-0.0070	-0.0094	-0.0130	-0.0094	-0.0003	-0.0047	-0.0070	-0.0111	0.0063	-0.0093	-0.0058	-0.0139	0.0003
0.6647	00:39:53	-0.0139	-0.0025	0.0010	-0.0010	-0.0002	-0.0015	0.0043	0.0093	0.0074	0.0072	-0.0004	0.0190	-0.0042	-0.0016	-0.0207	-0.0013
0.7139	00:42:50	-0.0150	-0.0029	0.0020	0.0012	0.0066	0.0013	0.0136	0.0197	0.0152	0.0181	0.0069	0.0302	-0.0037	0.0027	-0.0243	-0.0015
0.7639	00:45:50	-0.0017	0.0152	0.0102	0.0047	0.0185	0.0105	0.0232	0.0294	0.0220	0.0283	0.0179	0.0470	0.0025	0.0149	-0.0107	0.0186
0.8139	00:48:50	0.0211	0.0394	0.0297	0.0260	0.0406	0.0305	0.0418	0.0545	0.0454	0.0527	0.0378	0.0726	0.0229	0.0374	0.0079	0.0453
0.8639	00:51:50	0.0468	0.0636	0.0545	0.0542	0.0629	0.0558	0.0697	0.0861	0.0784	0.0824	0.0623	0.1074	0.0501	0.0641	0.0264	0.0727
0.9139	00:54:50	0.0709	0.0929	0.0877	0.0848	0.0976	0.0887	0.1035	0.1124	0.1068	0.1204	0.0909	0.1505	0.0784	0.0943	0.0479	0.1029
0.9639	00:57:50	0.0982	0.1182	0.1163	0.1158	0.1305	0.1218	0.1357	0.1484	0.1408	0.1536	0.1242	0.1896	0.1069	0.1256	0.0705	0.1276
1.0139	01:00:50	0.1221	0.1409	0.1474	0.1492	0.1625	0.1527	0.1693	0.1840	0.1759	0.1926	0.1514	0.2298	0.1396	0.1526	0.0879	0.1493
1.0639	01:03:50	0.1470	0.1642	0.1755	0.1751	0.1909	0.1812	0.1925	0.2114	0.2082	0.2214	0.1833	0.2640	0.1673	0.1878	0.1107	0.1725
1.1139	01:06:50	0.1708	0.1837	0.2041	0.2043	0.2167	0.2062	0.2204	0.2399	0.2364	0.2548	0.2069	0.2955	0.2000	0.2145	0.1286	0.1895
1.1639	01:09:50	0.1957	0.2050	0.2319	0.2317	0.2418	0.2311	0.2460	0.2672	0.2615	0.2804	0.2283	0.3275	0.2329	0.2433	0.1454	0.2089
1.2139	01:12:50	0.2195	0.2235	0.2597	0.2598	0.2649	0.2572	0.2711	0.2924	0.2844	0.3139	0.2495	0.3628	0.2651	0.2693	0.1595	0.2251
1.2639	01:15:50	0.2407	0.2439	0.2876	0.2824	0.2950	0.2808	0.2914	0.3096	0.3048	0.3382	0.2732	0.3884	0.2899	0.3019	0.1753	0.2459
1.3139	01:18:50	0.2661	0.2626	0.3084	0.3089	0.3116	0.3005	0.3075	0.3324	0.3294	0.3606	0.2941	0.4128	0.3198	0.3329	0.1911	0.2604
1.3642	01:21:51	0.2883	0.2780	0.3379	0.3344	0.3296	0.3204	0.3273	0.3535	0.3527	0.3856	0.3118	0.4391	0.3473	0.3519	0.1995	0.2711
1.4144	01:24:52	0.3075	0.2962	0.3580	0.3530	0.3496	0.3420	0.3437	0.3690	0.3718	0.4047	0.3306	0.4607	0.3678	0.3770	0.2088	0.2876
1.4647	01:27:53	0.3309	0.3073	0.3760	0.3701	0.3627	0.3526	0.3474	0.3842	0.3946	0.4238	0.3517	0.4732	0.3901	0.3994	0.2212	0.2972
1.5150	01:30:54	0.3501	0.3202	0.3935	0.3892	0.3729	0.3684	0.3600	0.3947	0.4125	0.4364	0.3654	0.4880	0.4078	0.4180	0.2299	0.3080
