		Experiment ID: 1306171030D1
Time-Interval(Hour)	Time-Interval	Y (A1)	Y (A2)	Y (B1)	Y (B2)	Y (C1)	Y (C2)	Y (D1)	Y (D2)	Y (E1)	Y (E2)	Y (F1)	Y (F2)	Y (G1)	Y (G2)	Y (H1)	Y (H2)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0007	-0.0029	0.0003	-0.0001	-0.0010	0.0045	0.0013	0.0020	0.0007	-0.0051	-0.0018	-0.0045	-0.0001	0.0042	0.0011	0.0016
0.9717	00:58:18	0.2619	0.2595	0.2730	0.2827	0.2678	0.2676	0.2659	0.2693	0.2767	0.2596	0.2688	0.2641	0.2695	0.2712	0.2483	0.2568
1.2222	01:13:20	0.2516	0.2558	0.2695	0.2919	0.2847	0.2915	0.2987	0.3069	0.3064	0.2960	0.2918	0.2912	0.2772	0.2774	0.2344	0.2415
1.4728	01:28:22	0.2774	0.2853	0.3006	0.3068	0.2920	0.3170	0.3205	0.3328	0.3309	0.3149	0.3069	0.3059	0.2949	0.2915	0.2540	0.2639
1.7233	01:43:24	0.3192	0.3326	0.3505	0.3533	0.3359	0.3716	0.3673	0.3807	0.3817	0.3687	0.3553	0.3540	0.3457	0.3324	0.2929	0.3060
1.9739	01:58:26	0.3612	0.3779	0.4014	0.4080	0.3835	0.4226	0.4148	0.4345	0.4293	0.4156	0.4087	0.4089	0.3958	0.3831	0.3332	0.3490
2.2244	02:13:28	0.4101	0.4297	0.4595	0.4591	0.4333	0.4825	0.4637	0.4944	0.4880	0.4655	0.4589	0.4600	0.4477	0.4289	0.3815	0.3940
2.4744	02:28:28	0.4495	0.4714	0.5056	0.5007	0.4738	0.5234	0.5016	0.5371	0.5322	0.5076	0.4989	0.4998	0.4914	0.4695	0.4168	0.4325
2.7250	02:43:30	0.4707	0.4904	0.5274	0.5212	0.4972	0.5483	0.5237	0.5618	0.5531	0.5334	0.5224	0.5210	0.5140	0.4900	0.4408	0.4528
2.9756	02:58:32	0.4709	0.4972	0.5256	0.5182	0.5019	0.5563	0.5255	0.5628	0.5512	0.5373	0.5205	0.5210	0.5145	0.4882	0.4411	0.4550
