		Experiment ID: 1401211032D1
Time-Interval(Hour)	Time-Interval	Y (A1)	Y (A2)	Y (B1)	Y (B2)	Y (C1)	Y (C2)	Y (D1)	Y (D2)	Y (E1)	Y (E2)	Y (F1)	Y (F2)	Y (G1)	Y (G2)	Y (H1)	Y (H2)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	-0.0031	-0.0041	0.0024	-0.0001	-0.0035	0.0047	0.0055	-0.0059	0.0030	-0.0070	-0.0035	-0.0024	0.0000	0.0009	0.0024	-0.0024
0.8406	00:50:26	0.0300	0.0226	0.0175	0.0186	0.0230	0.0211	0.0168	0.0157	0.0124	0.0138	0.0159	0.0232	0.0185	0.0240	0.0318	0.0341
0.8572	00:51:26	0.0223	0.0172	0.0211	0.0175	0.0245	0.0231	0.0230	0.0196	0.0172	0.0173	0.0197	0.0222	0.0210	0.0223	0.0289	0.0265
0.8739	00:52:26	0.0191	0.0130	0.0185	0.0214	0.0234	0.0285	0.0262	0.0150	0.0211	0.0135	0.0157	0.0273	0.0211	0.0248	0.0273	0.0228
0.8906	00:53:26	0.0185	0.0115	0.0162	0.0200	0.0217	0.0289	0.0299	0.0170	0.0249	0.0157	0.0163	0.0285	0.0218	0.0251	0.0237	0.0187
0.9072	00:54:26	0.0170	0.0099	0.0179	0.0171	0.0272	0.0263	0.0301	0.0256	0.0216	0.0256	0.0220	0.0274	0.0190	0.0199	0.0227	0.0177
0.9239	00:55:26	0.0127	0.0057	0.0162	0.0176	0.0243	0.0288	0.0323	0.0229	0.0261	0.0248	0.0194	0.0279	0.0201	0.0228	0.0214	0.0142
0.9406	00:56:26	0.0110	0.0042	0.0174	0.0173	0.0268	0.0309	0.0345	0.0249	0.0256	0.0275	0.0216	0.0283	0.0187	0.0217	0.0193	0.0110
0.9572	00:57:26	0.0125	0.0056	0.0164	0.0203	0.0308	0.0293	0.0328	0.0296	0.0273	0.0294	0.0247	0.0339	0.0155	0.0213	0.0150	0.0106
0.9739	00:58:26	0.0111	0.0029	0.0157	0.0172	0.0307	0.0291	0.0340	0.0314	0.0285	0.0331	0.0259	0.0337	0.0159	0.0192	0.0152	0.0108
0.9906	00:59:26	0.0081	-0.0002	0.0139	0.0178	0.0289	0.0338	0.0382	0.0278	0.0342	0.0287	0.0214	0.0346	0.0172	0.0209	0.0141	0.0057
1.0072	01:00:26	0.0094	0.0028	0.0127	0.0160	0.0324	0.0284	0.0360	0.0339	0.0310	0.0345	0.0257	0.0378	0.0138	0.0178	0.0124	0.0092
1.0239	01:01:26	0.0099	0.0039	0.0123	0.0177	0.0312	0.0303	0.0364	0.0341	0.0351	0.0342	0.0262	0.0373	0.0132	0.0196	0.0108	0.0075
1.0406	01:02:26	0.0092	0.0029	0.0116	0.0187	0.0325	0.0318	0.0378	0.0348	0.0361	0.0367	0.0262	0.0387	0.0145	0.0200	0.0115	0.0056
1.0572	01:03:26	0.0087	0.0010	0.0113	0.0169	0.0328	0.0313	0.0391	0.0376	0.0396	0.0389	0.0275	0.0377	0.0131	0.0179	0.0125	0.0077
1.0739	01:04:26	0.0073	0.0010	0.0127	0.0149	0.0339	0.0321	0.0411	0.0398	0.0358	0.0425	0.0300	0.0372	0.0126	0.0168	0.0151	0.0066
1.0906	01:05:26	0.0068	-0.0004	0.0130	0.0148	0.0335	0.0350	0.0433	0.0400	0.0384	0.0429	0.0314	0.0350	0.0131	0.0180	0.0138	0.0058
1.1072	01:06:26	0.0091	0.0011	0.0116	0.0190	0.0359	0.0372	0.0418	0.0398	0.0427	0.0433	0.0326	0.0414	0.0143	0.0200	0.0120	0.0050
1.1239	01:07:26	0.0062	-0.0004	0.0097	0.0194	0.0319	0.0399	0.0454	0.0404	0.0473	0.0407	0.0297	0.0401	0.0177	0.0212	0.0118	0.0032
1.1406	01:08:26	0.0074	-0.0005	0.0102	0.0198	0.0338	0.0419	0.0474	0.0408	0.0481	0.0417	0.0291	0.0390	0.0183	0.0221	0.0116	0.0031
1.1572	01:09:26	0.0036	-0.0016	0.0108	0.0171	0.0334	0.0416	0.0496	0.0433	0.0474	0.0429	0.0324	0.0388	0.0193	0.0197	0.0141	0.0050
1.1739	01:10:26	0.0039	-0.0018	0.0124	0.0201	0.0332	0.0443	0.0514	0.0431	0.0504	0.0425	0.0328	0.0413	0.0199	0.0223	0.0137	0.0041
1.1906	01:11:26	0.0060	0.0001	0.0115	0.0183	0.0342	0.0445	0.0493	0.0521	0.0488	0.0475	0.0352	0.0422	0.0189	0.0187	0.0129	0.0080
1.2072	01:12:26	0.0046	-0.0037	0.0133	0.0197	0.0371	0.0464	0.0521	0.0507	0.0459	0.0467	0.0369	0.0388	0.0190	0.0212	0.0164	0.0057
1.2239	01:13:26	0.0047	-0.0013	0.0127	0.0191	0.0386	0.0443	0.0521	0.0578	0.0476	0.0502	0.0395	0.0414	0.0191	0.0188	0.0157	0.0078
1.2406	01:14:26	0.0059	-0.0029	0.0114	0.0208	0.0364	0.0498	0.0556	0.0540	0.0543	0.0478	0.0340	0.0433	0.0216	0.0241	0.0149	0.0044
1.2572	01:15:26	0.0046	-0.0024	0.0143	0.0190	0.0369	0.0471	0.0560	0.0597	0.0502	0.0527	0.0396	0.0393	0.0204	0.0213	0.0175	0.0081
1.2739	01:16:26	0.0055	-0.0015	0.0141	0.0202	0.0377	0.0471	0.0553	0.0591	0.0517	0.0546	0.0399	0.0430	0.0204	0.0208	0.0170	0.0087
1.2906	01:17:26	0.0036	-0.0030	0.0138	0.0209	0.0374	0.0489	0.0572	0.0596	0.0569	0.0523	0.0381	0.0414	0.0240	0.0217	0.0164	0.0071
1.3072	01:18:26	0.0065	-0.0004	0.0106	0.0223	0.0394	0.0516	0.0560	0.0585	0.0575	0.0507	0.0363	0.0466	0.0232	0.0249	0.0136	0.0069
1.3239	01:19:26	0.0030	-0.0035	0.0110	0.0221	0.0377	0.0514	0.0589	0.0589	0.0573	0.0530	0.0356	0.0447	0.0241	0.0251	0.0159	0.0075
1.3406	01:20:26	0.0065	0.0000	0.0107	0.0237	0.0394	0.0494	0.0576	0.0608	0.0590	0.0560	0.0381	0.0474	0.0239	0.0248	0.0163	0.0085
1.3572	01:21:26	0.0064	-0.0013	0.0139	0.0219	0.0429	0.0481	0.0572	0.0645	0.0560	0.0570	0.0438	0.0453	0.0223	0.0228	0.0186	0.0088
1.3739	01:22:26	0.0067	-0.0005	0.0117	0.0254	0.0417	0.0533	0.0583	0.0606	0.0616	0.0548	0.0402	0.0481	0.0251	0.0259	0.0157	0.0064
1.3906	01:23:26	0.0042	-0.0036	0.0141	0.0215	0.0401	0.0516	0.0610	0.0625	0.0622	0.0568	0.0412	0.0465	0.0264	0.0265	0.0191	0.0087
