		Experiment ID: 1207241520D1
Time-Interval(Hour)	Time-Interval	Y (A1)	Y (A2)	Y (B1)	Y (B2)	Y (C1)	Y (C2)	Y (D1)	Y (D2)	Y (E1)	Y (E2)	Y (F1)	Y (F2)	Y (G1)	Y (G2)	Y (H1)	Y (H2)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0008	00:00:03	-0.0011	0.0005	0.0004	0.0004	0.0038	-0.0006	-0.0016	0.0017	0.0046	-0.0027	-0.0019	0.0017	-0.0000	0.0004	0.0003	-0.0014
0.6944	00:41:40	0.0728	0.0773	0.0637	0.0596	0.0512	0.0443	0.0325	0.0462	0.0464	0.0283	0.0503	0.0559	0.0638	0.0547	0.0583	0.0544
0.9447	00:56:41	0.0542	0.0629	0.0751	0.0691	0.0758	0.0787	0.0719	0.0806	0.0922	0.0828	0.0747	0.0843	0.0675	0.0695	0.0461	0.0453
1.1950	01:11:42	0.0574	0.0709	0.0822	0.0800	0.0825	0.0895	0.0910	0.1078	0.1120	0.1045	0.0855	0.0936	0.0802	0.0832	0.0478	0.0485
1.4453	01:26:43	0.0728	0.0881	0.1022	0.1075	0.1092	0.1107	0.1250	0.1362	0.1427	0.1323	0.1087	0.1171	0.0970	0.1091	0.0565	0.0608
1.6956	01:41:44	0.0923	0.1082	0.1191	0.1334	0.1342	0.1337	0.1496	0.1595	0.1696	0.1634	0.1297	0.1388	0.1143	0.1296	0.0735	0.0820
1.9458	01:56:45	0.1175	0.1360	0.1293	0.1555	0.1485	0.1566	0.1685	0.1812	0.1923	0.1892	0.1563	0.1663	0.1370	0.1499	0.1010	0.1026
2.1961	02:11:46	0.1387	0.1722	0.1392	0.1752	0.1611	0.1754	0.1910	0.2076	0.2179	0.2050	0.1821	0.1934	0.1633	0.1756	0.1240	0.1192
2.4464	02:26:47	0.1618	0.1997	0.1538	0.2008	0.1799	0.2013	0.2075	0.2311	0.2359	0.2205	0.1992	0.2172	0.1835	0.1996	0.1444	0.1331
2.6967	02:41:48	0.1848	0.2292	0.1729	0.2261	0.2051	0.2202	0.2290	0.2538	0.2613	0.2381	0.2189	0.2361	0.2077	0.2222	0.1677	0.1480
2.9469	02:56:49	0.2067	0.2571	0.1945	0.2471	0.2250	0.2437	0.2425	0.2696	0.2816	0.2585	0.2379	0.2534	0.2229	0.2387	0.1860	0.1651
3.1972	03:11:50	0.2273	0.2765	0.2118	0.2685	0.2427	0.2576	0.2621	0.2890	0.3036	0.2713	0.2573	0.2735	0.2436	0.2611	0.2072	0.1841
3.4475	03:26:51	0.2471	0.2978	0.2326	0.2878	0.2613	0.2758	0.2804	0.3064	0.3216	0.2899	0.2738	0.2913	0.2632	0.2794	0.2240	0.2004
3.6978	03:41:52	0.2673	0.3186	0.2542	0.3069	0.2813	0.2917	0.2979	0.3208	0.3365	0.3082	0.2905	0.3050	0.2805	0.2983	0.2378	0.2171
3.9481	03:56:53	0.2863	0.3332	0.2711	0.3242	0.2943	0.3072	0.3131	0.3320	0.3477	0.3260	0.3084	0.3222	0.2930	0.3084	0.2567	0.2352
4.1983	04:11:54	0.2953	0.3424	0.2858	0.3364	0.3081	0.3174	0.3234	0.3408	0.3632	0.3356	0.3135	0.3333	0.3071	0.3209	0.2670	0.2467
4.4486	04:26:55	0.3019	0.3496	0.2931	0.3447	0.3175	0.3247	0.3329	0.3456	0.3691	0.3442	0.3246	0.3370	0.3148	0.3306	0.2723	0.2614
4.6989	04:41:56	0.3084	0.3503	0.2970	0.3465	0.3210	0.3317	0.3427	0.3535	0.3747	0.3481	0.3310	0.3469	0.3212	0.3367	0.2800	0.2704
4.9492	04:56:57	0.3084	0.3518	0.3022	0.3524	0.3257	0.3291	0.3456	0.3544	0.3791	0.3547	0.3311	0.3462	0.3244	0.3391	0.2860	0.2697
5.1994	05:11:58	0.3074	0.3504	0.3040	0.3554	0.3263	0.3339	0.3461	0.3528	0.3772	0.3567	0.3300	0.3451	0.3247	0.3398	0.2895	0.2696
5.4497	05:26:59	0.3129	0.3498	0.3028	0.3568	0.3224	0.3322	0.3523	0.3567	0.3815	0.3516	0.3323	0.3485	0.3275	0.3427	0.2927	0.2713
5.7000	05:42:00	0.3154	0.3538	0.3040	0.3649	0.3259	0.3372	0.3497	0.3528	0.3858	0.3548	0.3341	0.3467	0.3304	0.3445	0.2923	0.2737
5.9500	05:57:00	0.3177	0.3550	0.3064	0.3691	0.3271	0.3397	0.3541	0.3572	0.3861	0.3584	0.3363	0.3524	0.3357	0.3468	0.2959	0.2748
6.2003	06:12:01	0.3265	0.3580	0.3095	0.3794	0.3312	0.3416	0.3598	0.3645	0.3955	0.3623	0.3408	0.3563	0.3448	0.3526	0.2997	0.2769
6.4506	06:27:02	0.3359	0.3639	0.3139	0.3846	0.3360	0.3484	0.3733	0.3760	0.4087	0.3662	0.3509	0.3700	0.3542	0.3588	0.3103	0.2835
6.7008	06:42:03	0.3456	0.3762	0.3210	0.3940	0.3411	0.3560	0.3815	0.3851	0.4210	0.3752	0.3606	0.3786	0.3673	0.3704	0.3199	0.2885
6.9511	06:57:04	0.3564	0.3853	0.3297	0.4108	0.3535	0.3650	0.3961	0.3933	0.4396	0.3837	0.3708	0.3867	0.3842	0.3838	0.3296	0.2939
7.2014	07:12:05	0.3694	0.3985	0.3401	0.4240	0.3624	0.3784	0.4057	0.4051	0.4509	0.3966	0.3855	0.4001	0.3944	0.3939	0.3382	0.2999
7.4517	07:27:06	0.3859	0.4117	0.3510	0.4391	0.3717	0.3914	0.4223	0.4229	0.4726	0.4062	0.4021	0.4178	0.4164	0.4135	0.3555	0.3133
7.7019	07:42:07	0.4029	0.4286	0.3628	0.4618	0.3893	0.4059	0.4374	0.4353	0.4937	0.4221	0.4146	0.4335	0.4360	0.4333	0.3683	0.3220
7.9522	07:57:08	0.4199	0.4465	0.3753	0.4762	0.4011	0.4197	0.4529	0.4503	0.5125	0.4330	0.4345	0.4541	0.4544	0.4541	0.3817	0.3411
8.2025	08:12:09	0.4343	0.4626	0.3950	0.5015	0.4262	0.4366	0.4688	0.4654	0.5322	0.4533	0.4526	0.4714	0.4740	0.4752	0.3945	0.3495
8.4528	08:27:10	0.4578	0.4881	0.4126	0.5182	0.4433	0.4568	0.4916	0.4876	0.5509	0.4669	0.4764	0.4995	0.4966	0.4930	0.4107	0.3692
8.7031	08:42:11	0.4772	0.5056	0.4356	0.5393	0.4664	0.4737	0.5116	0.5099	0.5737	0.4846	0.4947	0.5184	0.5190	0.5148	0.4264	0.3822
8.9533	08:57:12	0.4954	0.5250	0.4551	0.5659	0.4889	0.4938	0.5302	0.5253	0.5974	0.4994	0.5196	0.5414	0.5450	0.5397	0.4418	0.3987
9.2036	09:12:13	0.5194	0.5447	0.4756	0.5886	0.5130	0.5099	0.5502	0.5483	0.6275	0.5162	0.5417	0.5607	0.5712	0.5660	0.4597	0.4169
9.4539	09:27:14	0.5403	0.5672	0.4992	0.6157	0.5364	0.5296	0.5687	0.5680	0.6542	0.5390	0.5681	0.5863	0.5985	0.5975	0.4772	0.4323
9.7042	09:42:15	0.5618	0.5873	0.5212	0.6397	0.5578	0.5533	0.5940	0.5878	0.6755	0.5526	0.5940	0.6086	0.6212	0.6235	0.4943	0.4556
9.9544	09:57:16	0.5833	0.6126	0.5504	0.6642	0.5850	0.5769	0.6195	0.6114	0.7071	0.5774	0.6202	0.6312	0.6523	0.6503	0.5123	0.4740
10.2047	10:12:17	0.6098	0.6365	0.5748	0.6882	0.6092	0.5940	0.6448	0.6409	0.7355	0.5917	0.6467	0.6606	0.6821	0.6762	0.5359	0.4930
