		Experiment ID: 1206271201D2
Time-Interval(Hour)	Time-Interval	Y (A3)	Y (A4)	Y (B3)	Y (B4)	Y (C3)	Y (C4)	Y (D3)	Y (D4)	Y (E3)	Y (E4)	Y (F3)	Y (F4)	Y (G3)	Y (G4)	Y (H3)	Y (H4)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0006	-0.0021	0.0016	0.0026	-0.0063	-0.0021	-0.0037	0.0022	-0.0018	-0.0007	0.0029	-0.0018	-0.0003	-0.0016	-0.0007	-0.0016
0.5011	00:30:04	0.0881	0.0763	0.0754	0.0762	0.0756	0.0885	0.0785	0.0874	0.0866	0.0994	0.0770	0.1000	0.0812	0.0925	0.0928	0.0852
0.5506	00:33:02	0.1129	0.0946	0.1013	0.1038	0.1086	0.1177	0.1104	0.1163	0.1206	0.1398	0.1085	0.1378	0.1131	0.1246	0.1146	0.1038
0.6003	00:36:01	0.1433	0.1217	0.1381	0.1420	0.1460	0.1544	0.1487	0.1576	0.1607	0.1720	0.1477	0.1811	0.1492	0.1604	0.1408	0.1370
0.6503	00:39:01	0.1500	0.1394	0.1701	0.1785	0.1868	0.1945	0.1929	0.1996	0.1978	0.2119	0.1851	0.2190	0.1802	0.1942	0.1472	0.1569
0.7000	00:42:00	0.1360	0.1271	0.1833	0.1993	0.2126	0.2215	0.2205	0.2298	0.2250	0.2437	0.2042	0.2451	0.1929	0.2064	0.1375	0.1526
0.7500	00:45:00	0.1155	0.1066	0.1767	0.1967	0.2157	0.2166	0.2289	0.2433	0.2340	0.2482	0.2118	0.2463	0.1956	0.1956	0.1181	0.1431
0.7997	00:47:59	0.1030	0.0949	0.1660	0.1871	0.2109	0.2022	0.2276	0.2380	0.2334	0.2400	0.2077	0.2359	0.1894	0.1852	0.1082	0.1335
0.8497	00:50:59	0.0985	0.0907	0.1570	0.1815	0.2106	0.2028	0.2245	0.2291	0.2280	0.2327	0.1995	0.2325	0.1833	0.1810	0.1072	0.1281
0.8994	00:53:58	0.0985	0.0891	0.1593	0.1853	0.2103	0.2015	0.2286	0.2273	0.2373	0.2304	0.1971	0.2248	0.1833	0.1795	0.1091	0.1263
0.9492	00:56:57	0.1017	0.0915	0.1626	0.1861	0.2142	0.1995	0.2266	0.2279	0.2363	0.2245	0.2037	0.2295	0.1918	0.1869	0.1123	0.1333
0.9992	00:59:57	0.1084	0.0945	0.1695	0.1926	0.2192	0.2027	0.2349	0.2333	0.2451	0.2251	0.2092	0.2311	0.1966	0.1898	0.1194	0.1402
1.0489	01:02:56	0.1175	0.1035	0.1763	0.1978	0.2270	0.2084	0.2385	0.2376	0.2525	0.2318	0.2130	0.2337	0.2017	0.1927	0.1280	0.1455
1.0986	01:05:55	0.1288	0.1122	0.1816	0.1979	0.2349	0.2134	0.2433	0.2387	0.2606	0.2349	0.2206	0.2392	0.2119	0.2000	0.1355	0.1558
1.1483	01:08:54	0.1390	0.1232	0.1870	0.1972	0.2410	0.2133	0.2493	0.2427	0.2650	0.2377	0.2255	0.2442	0.2192	0.2071	0.1453	0.1646
1.1981	01:11:53	0.1489	0.1305	0.1957	0.1967	0.2421	0.2152	0.2496	0.2487	0.2730	0.2306	0.2330	0.2473	0.2248	0.2130	0.1549	0.1735
1.2478	01:14:52	0.1626	0.1403	0.2018	0.1963	0.2469	0.2155	0.2554	0.2497	0.2786	0.2295	0.2339	0.2474	0.2303	0.2157	0.1684	0.1808
1.2975	01:17:51	0.1745	0.1526	0.2017	0.1953	0.2489	0.2176	0.2586	0.2463	0.2775	0.2295	0.2373	0.2495	0.2392	0.2220	0.1779	0.1874
1.3472	01:20:50	0.1857	0.1635	0.2008	0.1951	0.2525	0.2180	0.2560	0.2467	0.2766	0.2257	0.2375	0.2492	0.2462	0.2272	0.1889	0.1926
1.3969	01:23:49	0.1942	0.1721	0.1994	0.1967	0.2538	0.2127	0.2572	0.2474	0.2764	0.2241	0.2380	0.2486	0.2491	0.2264	0.1979	0.1967
1.4464	01:26:47	0.2054	0.1809	0.2024	0.1975	0.2566	0.2148	0.2575	0.2506	0.2797	0.2286	0.2389	0.2488	0.2499	0.2274	0.2092	0.1981
1.4961	01:29:46	0.2110	0.1860	0.2037	0.2010	0.2587	0.2149	0.2573	0.2510	0.2832	0.2299	0.2402	0.2550	0.2529	0.2290	0.2165	0.1997
1.5458	01:32:45	0.2133	0.1853	0.2049	0.2031	0.2608	0.2138	0.2588	0.2575	0.2840	0.2309	0.2425	0.2547	0.2536	0.2287	0.2231	0.2031
1.5947	01:35:41	0.2151	0.1875	0.2060	0.2021	0.2619	0.2148	0.2559	0.2566	0.2888	0.2335	0.2459	0.2573	0.2576	0.2309	0.2259	0.2045
1.6444	01:38:40	0.2191	0.1902	0.2033	0.2025	0.2651	0.2167	0.2570	0.2547	0.2890	0.2365	0.2458	0.2617	0.2624	0.2362	0.2312	0.2077
