		Experiment ID: 1206271201D3
Time-Interval(Hour)	Time-Interval	Y (A5)	Y (A6)	Y (B5)	Y (B6)	Y (C5)	Y (C6)	Y (D5)	Y (D6)	Y (E5)	Y (E6)	Y (F5)	Y (F6)	Y (G5)	Y (G6)	Y (H5)	Y (H6)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	-0.0003	-0.0011	-0.0003	-0.0010	0.0018	-0.0006	-0.0007	0.0000	-0.0004	0.0012	0.0009	-0.0022	0.0004	0.0032	-0.0002	-0.0017
0.4928	00:29:34	0.0998	0.0863	0.0927	0.0832	0.0975	0.0860	0.0924	0.0934	0.0952	0.0907	0.0964	0.0777	0.0875	0.0895	0.1020	0.1049
0.5431	00:32:35	0.1203	0.1112	0.1224	0.1178	0.1330	0.1227	0.1302	0.1324	0.1371	0.1286	0.1323	0.1132	0.1165	0.1190	0.1265	0.1305
0.5933	00:35:36	0.1522	0.1448	0.1699	0.1594	0.1846	0.1681	0.1780	0.1781	0.1923	0.1839	0.1764	0.1574	0.1533	0.1593	0.1609	0.1625
0.6436	00:38:37	0.1539	0.1476	0.2083	0.2009	0.2284	0.2127	0.2269	0.2229	0.2419	0.2386	0.2189	0.2041	0.1879	0.1996	0.1637	0.1728
0.6939	00:41:38	0.1261	0.1268	0.2209	0.2160	0.2518	0.2421	0.2512	0.2387	0.2756	0.2764	0.2475	0.2274	0.1948	0.2221	0.1409	0.1475
0.7442	00:44:39	0.1023	0.1036	0.2101	0.2001	0.2453	0.2388	0.2562	0.2408	0.2827	0.2734	0.2438	0.2259	0.1870	0.2183	0.1177	0.1216
0.7944	00:47:40	0.0810	0.0910	0.1963	0.1801	0.2301	0.2214	0.2492	0.2309	0.2662	0.2599	0.2302	0.2167	0.1706	0.2034	0.1055	0.1058
0.8447	00:50:41	0.0703	0.0858	0.1878	0.1752	0.2225	0.2077	0.2395	0.2218	0.2591	0.2507	0.2178	0.2061	0.1603	0.1938	0.1006	0.0974
0.8950	00:53:42	0.0672	0.0854	0.1873	0.1781	0.2174	0.2084	0.2353	0.2166	0.2533	0.2455	0.2145	0.2002	0.1557	0.1930	0.1029	0.0919
0.9453	00:56:43	0.0663	0.0872	0.1876	0.1821	0.2156	0.2061	0.2380	0.2163	0.2561	0.2354	0.2115	0.2008	0.1585	0.1929	0.1041	0.0948
0.9956	00:59:44	0.0713	0.0941	0.1910	0.1891	0.2172	0.2069	0.2367	0.2178	0.2604	0.2159	0.2157	0.2063	0.1600	0.1984	0.1097	0.1003
