		Experiment ID: 1207181144D1
Time-Interval(Hour)	Time-Interval	Y (A1)	Y (A2)	Y (B1)	Y (B2)	Y (C1)	Y (C2)	Y (D1)	Y (D2)	Y (E1)	Y (E2)	Y (F1)	Y (F2)	Y (G1)	Y (G2)	Y (H1)	Y (H2)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	-0.0004	-0.0007	-0.0016	0.0016	-0.0021	-0.0007	0.0005	0.0032	0.0001	0.0023	0.0022	0.0007	0.0008	0.0004	0.0014	0.0001
0.4189	00:25:08	0.2154	0.2010	0.2020	0.2148	0.2077	0.2069	0.2161	0.2171	0.2136	0.2141	0.1990	0.2113	0.1986	0.2024	0.2192	0.2234
0.4692	00:28:09	0.2795	0.2626	0.2707	0.2956	0.2875	0.2772	0.2947	0.2995	0.2975	0.2947	0.2685	0.2942	0.2708	0.2799	0.2863	0.2983
0.5192	00:31:09	0.2924	0.2680	0.3301	0.3564	0.3619	0.3465	0.3644	0.3725	0.3712	0.3670	0.3420	0.3662	0.3298	0.3405	0.3011	0.3129
0.5692	00:34:09	0.2093	0.1942	0.3330	0.3506	0.3787	0.3602	0.3904	0.3925	0.3966	0.3793	0.3635	0.3749	0.3337	0.3384	0.2193	0.2248
0.6192	00:37:09	0.1654	0.1582	0.2984	0.3194	0.3502	0.3374	0.3712	0.3722	0.3821	0.3540	0.3442	0.3559	0.3033	0.2999	0.1782	0.1786
0.6692	00:40:09	0.1492	0.1477	0.2769	0.3066	0.3223	0.3300	0.3513	0.3593	0.3550	0.3425	0.3294	0.3373	0.2882	0.2780	0.1661	0.1709
0.7192	00:43:09	0.1484	0.1448	0.2690	0.3047	0.3181	0.3322	0.3536	0.3672	0.3583	0.3421	0.3331	0.3378	0.2911	0.2686	0.1631	0.1680
0.7692	00:46:09	0.1477	0.1396	0.2713	0.3135	0.3184	0.3438	0.3652	0.3733	0.3693	0.3564	0.3362	0.3487	0.3054	0.2747	0.1596	0.1683
0.8192	00:49:09	0.1539	0.1381	0.2779	0.3242	0.3277	0.3555	0.3804	0.3876	0.3865	0.3705	0.3557	0.3655	0.3186	0.2783	0.1614	0.1713
0.8692	00:52:09	0.1594	0.1370	0.2866	0.3402	0.3440	0.3714	0.3921	0.4004	0.4005	0.3881	0.3665	0.3804	0.3363	0.2887	0.1600	0.1789
0.9192	00:55:09	0.1728	0.1418	0.2944	0.3532	0.3513	0.3830	0.4100	0.4214	0.4179	0.3990	0.3832	0.3965	0.3497	0.2960	0.1687	0.1917
0.9692	00:58:09	0.1880	0.1569	0.3062	0.3647	0.3625	0.3981	0.4198	0.4355	0.4272	0.4067	0.3943	0.4018	0.3595	0.3047	0.1826	0.2119
1.0192	01:01:09	0.2015	0.1740	0.3153	0.3746	0.3735	0.4047	0.4298	0.4424	0.4363	0.4117	0.3992	0.4074	0.3615	0.3122	0.2032	0.2264
1.0692	01:04:09	0.2184	0.1948	0.3229	0.3751	0.3790	0.4032	0.4280	0.4513	0.4360	0.4056	0.4009	0.4043	0.3565	0.3181	0.2239	0.2470
1.1192	01:07:09	0.2351	0.2134	0.3275	0.3684	0.3771	0.3978	0.4252	0.4531	0.4370	0.4050	0.3960	0.3989	0.3566	0.3270	0.2445	0.2600
1.1692	01:10:09	0.2478	0.2270	0.3331	0.3654	0.3714	0.4017	0.4211	0.4440	0.4315	0.4013	0.3899	0.3927	0.3541	0.3306	0.2557	0.2750
1.2192	01:13:09	0.2595	0.2451	0.3323	0.3619	0.3703	0.3955	0.4163	0.4402	0.4240	0.3983	0.3860	0.3896	0.3473	0.3363	0.2715	0.2879
1.2692	01:16:09	0.2694	0.2584	0.3222	0.3579	0.3640	0.3926	0.4131	0.4356	0.4222	0.3946	0.3812	0.3829	0.3411	0.3383	0.2845	0.2943
1.3192	01:19:09	0.2709	0.2707	0.3202	0.3507	0.3612	0.3867	0.4068	0.4311	0.4175	0.3880	0.3770	0.3834	0.3344	0.3369	0.2973	0.2953
1.3689	01:22:08	0.2645	0.2777	0.3147	0.3474	0.3568	0.3831	0.4022	0.4251	0.4108	0.3823	0.3723	0.3802	0.3279	0.3347	0.3026	0.2850
1.4189	01:25:08	0.2639	0.2805	0.3119	0.3446	0.3534	0.3793	0.3981	0.4232	0.4069	0.3756	0.3670	0.3729	0.3262	0.3326	0.3023	0.2841
1.4689	01:28:08	0.2605	0.2759	0.3077	0.3420	0.3496	0.3760	0.3920	0.4176	0.3985	0.3724	0.3610	0.3676	0.3229	0.3292	0.2950	0.2789
1.5189	01:31:08	0.2622	0.2746	0.3005	0.3362	0.3445	0.3701	0.3889	0.4112	0.3951	0.3709	0.3584	0.3657	0.3194	0.3271	0.2952	0.2755
1.5689	01:34:08	0.2605	0.2746	0.2996	0.3318	0.3376	0.3661	0.3878	0.4104	0.3913	0.3640	0.3549	0.3642	0.3151	0.3259	0.2949	0.2746
1.6189	01:37:08	0.2530	0.2728	0.2971	0.3301	0.3361	0.3660	0.3821	0.4062	0.3873	0.3597	0.3512	0.3585	0.3110	0.3190	0.2911	0.2713
1.6689	01:40:08	0.2531	0.2729	0.2925	0.3278	0.3326	0.3610	0.3788	0.4002	0.3825	0.3586	0.3470	0.3574	0.3104	0.3173	0.2869	0.2664
1.8842	01:53:03	0.2824	0.3072	0.3130	0.3176	0.3249	0.3477	0.3182	0.3639	0.2861	0.2806	0.2690	0.3035	0.2299	0.2739	0.2761	0.2483
1.9342	01:56:03	0.2818	0.3048	0.3251	0.3285	0.3467	0.3674	0.3335	0.3864	0.3080	0.3068	0.2907	0.3271	0.2544	0.2902	0.2907	0.2513
1.9842	01:59:03	0.2704	0.3028	0.3198	0.3340	0.3440	0.3736	0.3446	0.3953	0.3231	0.3226	0.2972	0.3343	0.2652	0.2994	0.2838	0.2419
2.0342	02:02:03	0.2500	0.2898	0.3120	0.3335	0.3422	0.3724	0.3467	0.3974	0.3306	0.3266	0.3031	0.3342	0.2742	0.2945	0.2713	0.2287
2.0842	02:05:03	0.2365	0.2816	0.2988	0.3169	0.3362	0.3684	0.3422	0.3916	0.3291	0.3170	0.3045	0.3246	0.2684	0.2805	0.2670	0.2228
2.1342	02:08:03	0.2313	0.2810	0.2865	0.3114	0.3252	0.3572	0.3383	0.3833	0.3266	0.3084	0.2938	0.3116	0.2614	0.2754	0.2710	0.2147
2.1842	02:11:03	0.2235	0.2783	0.2831	0.3054	0.3168	0.3547	0.3317	0.3812	0.3243	0.3040	0.2976	0.3066	0.2583	0.2655	0.2736	0.2083
2.2342	02:14:03	0.2182	0.2773	0.2775	0.3016	0.3107	0.3514	0.3312	0.3752	0.3237	0.3003	0.2954	0.3016	0.2570	0.2586	0.2795	0.2034
2.2842	02:17:03	0.2171	0.2791	0.2686	0.3044	0.3054	0.3519	0.3310	0.3699	0.3256	0.2964	0.2888	0.2911	0.2575	0.2556	0.2832	0.1942
2.3342	02:20:03	0.2156	0.2809	0.2690	0.3022	0.3054	0.3529	0.3273	0.3719	0.3264	0.2907	0.2928	0.2921	0.2560	0.2479	0.2892	0.1925
2.3842	02:23:03	0.2237	0.2858	0.2687	0.3032	0.3006	0.3519	0.3325	0.3702	0.3315	0.2908	0.2933	0.2863	0.2576	0.2463	0.2966	0.1863
2.4342	02:26:03	0.2284	0.2840	0.2741	0.3059	0.3081	0.3555	0.3288	0.3664	0.3304	0.2915	0.2930	0.2866	0.2535	0.2411	0.2985	0.1855
2.4842	02:29:03	0.2388	0.2834	0.2811	0.3069	0.3143	0.3573	0.3282	0.3641	0.3344	0.2961	0.2942	0.2887	0.2544	0.2405	0.3000	0.1840
2.5342	02:32:03	0.2455	0.2840	0.2861	0.3062	0.3243	0.3548	0.3309	0.3638	0.3371	0.3017	0.2949	0.3004	0.2557	0.2435	0.3003	0.1836
2.5842	02:35:03	0.2520	0.2813	0.2934	0.3072	0.3342	0.3554	0.3354	0.3622	0.3446	0.3179	0.2944	0.3066	0.2538	0.2447	0.3023	0.1835
2.6342	02:38:03	0.2531	0.2782	0.3013	0.3097	0.3485	0.3561	0.3304	0.3573	0.3458	0.3346	0.2936	0.3168	0.2559	0.2519	0.3019	0.1875
2.6842	02:41:03	0.2585	0.2785	0.3043	0.3059	0.3504	0.3534	0.3351	0.3552	0.3484	0.3426	0.2933	0.3229	0.2581	0.2597	0.3076	0.1914
2.7342	02:44:03	0.2591	0.2761	0.3102	0.3023	0.3551	0.3510	0.3348	0.3561	0.3491	0.3432	0.2931	0.3351	0.2566	0.2669	0.3114	0.1988
2.7842	02:47:03	0.2594	0.2783	0.3090	0.3027	0.3585	0.3501	0.3317	0.3517	0.3488	0.3499	0.2946	0.3374	0.2557	0.2710	0.3136	0.2046
2.8342	02:50:03	0.2591	0.2840	0.3093	0.3028	0.3608	0.3485	0.3289	0.3486	0.3503	0.3523	0.2895	0.3360	0.2561	0.2769	0.3196	0.2113
2.8842	02:53:03	0.2633	0.2982	0.3107	0.2968	0.3610	0.3468	0.3293	0.3498	0.3528	0.3511	0.2912	0.3400	0.2552	0.2800	0.3253	0.2180
2.9342	02:56:03	0.2652	0.3136	0.3088	0.3013	0.3599	0.3485	0.3286	0.3450	0.3490	0.3535	0.2910	0.3402	0.2561	0.2812	0.3309	0.2208
2.9842	02:59:03	0.2655	0.3386	0.3073	0.3013	0.3584	0.3488	0.3282	0.3458	0.3488	0.3511	0.2911	0.3399	0.2539	0.2816	0.3359	0.2245
3.0342	03:02:03	0.2656	0.3809	0.3093	0.3061	0.3624	0.3507	0.3268	0.3428	0.3474	0.3557	0.2894	0.3365	0.2552	0.2824	0.3370	0.2268
3.0842	03:05:03	0.2665	0.4075	0.3085	0.3101	0.3590	0.3547	0.3264	0.3445	0.3469	0.3537	0.2919	0.3388	0.2546	0.2825	0.3426	0.2287
3.1342	03:08:03	0.2673	0.4217	0.3065	0.3166	0.3582	0.3600	0.3273	0.3409	0.3463	0.3513	0.2888	0.3369	0.2551	0.2858	0.3386	0.2288
3.1839	03:11:02	0.2651	0.4248	0.3074	0.3325	0.3588	0.3727	0.3227	0.3408	0.3438	0.3504	0.2914	0.3394	0.2523	0.2793	0.3424	0.2303
3.2339	03:14:02	0.2668	0.4360	0.3030	0.3634	0.3581	0.3875	0.3245	0.3416	0.3460	0.3511	0.2887	0.3367	0.2558	0.2820	0.3434	0.2289
3.2839	03:17:02	0.2674	0.4439	0.3051	0.3818	0.3541	0.4081	0.3231	0.3406	0.3490	0.3455	0.2899	0.3362	0.2522	0.2824	0.3483	0.2322
3.3339	03:20:02	0.2677	0.4492	0.3050	0.3862	0.3541	0.4215	0.3234	0.3402	0.3546	0.3452	0.2893	0.3353	0.2513	0.2813	0.3410	0.2323
3.3839	03:23:02	0.2672	0.4527	0.3021	0.3918	0.3518	0.4283	0.3254	0.3409	0.3622	0.3450	0.2895	0.3342	0.2531	0.2833	0.3387	0.2304
3.4339	03:26:02	0.2674	0.4425	0.3017	0.4048	0.3499	0.4389	0.3242	0.3386	0.3716	0.3452	0.2886	0.3311	0.2557	0.2850	0.3362	0.2264
3.4839	03:29:02	0.2675	0.4404	0.3006	0.4147	0.3518	0.4504	0.3250	0.3398	0.3833	0.3407	0.2874	0.3305	0.2543	0.2839	0.3336	0.2264
3.5339	03:32:02	0.2653	0.4328	0.3030	0.4251	0.3501	0.4651	0.3198	0.3389	0.3910	0.3416	0.2896	0.3327	0.2534	0.2811	0.3259	0.2276
3.5839	03:35:02	0.2654	0.4184	0.3014	0.4311	0.3510	0.4686	0.3185	0.3391	0.4019	0.3411	0.2895	0.3280	0.2540	0.2806	0.3223	0.2279
3.6336	03:38:01	0.2670	0.4102	0.3007	0.4342	0.3457	0.4754	0.3214	0.3387	0.4119	0.3377	0.2900	0.3258	0.2545	0.2816	0.3171	0.2272
3.6836	03:41:01	0.2644	0.4002	0.3010	0.4325	0.3478	0.4798	0.3197	0.3378	0.4161	0.3381	0.2898	0.3280	0.2537	0.2811	0.3146	0.2274
3.7336	03:44:01	0.2648	0.3876	0.2993	0.4265	0.3467	0.4818	0.3179	0.3367	0.4202	0.3362	0.2913	0.3260	0.2541	0.2791	0.3085	0.2271
3.7836	03:47:01	0.2652	0.3833	0.2988	0.4183	0.3472	0.4787	0.3200	0.3362	0.4224	0.3379	0.2898	0.3231	0.2545	0.2795	0.3053	0.2263
3.8336	03:50:01	0.2661	0.3715	0.2974	0.4138	0.3451	0.4749	0.3196	0.3359	0.4283	0.3397	0.2918	0.3214	0.2565	0.2811	0.2984	0.2249
3.8836	03:53:01	0.2643	0.3677	0.2978	0.4048	0.3419	0.4611	0.3223	0.3357	0.4415	0.3354	0.2974	0.3245	0.2574	0.2801	0.2970	0.2256
3.9336	03:56:01	0.2651	0.3599	0.2954	0.3923	0.3404	0.4595	0.3210	0.3356	0.4454	0.3333	0.2963	0.3239	0.2579	0.2815	0.2950	0.2259
3.9836	03:59:01	0.2638	0.3496	0.2959	0.3828	0.3418	0.4482	0.3206	0.3357	0.4493	0.3362	0.2974	0.3234	0.2576	0.2798	0.2896	0.2262
4.0336	04:02:01	0.2638	0.3454	0.2945	0.3771	0.3400	0.4393	0.3212	0.3358	0.4543	0.3350	0.2995	0.3228	0.2582	0.2803	0.2884	0.2244
4.0836	04:05:01	0.2635	0.3412	0.2944	0.3669	0.3390	0.4299	0.3211	0.3340	0.4531	0.3345	0.3055	0.3216	0.2599	0.2790	0.2870	0.2251
4.1336	04:08:01	0.2611	0.3366	0.2963	0.3582	0.3406	0.4248	0.3186	0.3346	0.4477	0.3324	0.3107	0.3237	0.2579	0.2772	0.2847	0.2258
4.1836	04:11:01	0.2615	0.3343	0.2927	0.3527	0.3395	0.4214	0.3205	0.3320	0.4433	0.3319	0.3155	0.3208	0.2595	0.2781	0.2798	0.2230
4.2336	04:14:01	0.2615	0.3328	0.2934	0.3465	0.3364	0.4122	0.3194	0.3363	0.4409	0.3296	0.3247	0.3219	0.2590	0.2764	0.2810	0.2254
4.2836	04:17:01	0.2586	0.3332	0.2942	0.3387	0.3371	0.4013	0.3186	0.3312	0.4360	0.3326	0.3303	0.3220	0.2615	0.2749	0.2781	0.2240
4.3336	04:20:01	0.2581	0.3310	0.2932	0.3359	0.3369	0.3996	0.3177	0.3336	0.4311	0.3286	0.3373	0.3215	0.2644	0.2734	0.2775	0.2241
4.3836	04:23:01	0.2578	0.3310	0.2911	0.3268	0.3347	0.3947	0.3192	0.3322	0.4227	0.3317	0.3418	0.3205	0.2673	0.2734	0.2743	0.2241
4.4336	04:26:01	0.2569	0.3291	0.2911	0.3256	0.3365	0.3894	0.3188	0.3313	0.4208	0.3303	0.3468	0.3208	0.2718	0.2737	0.2753	0.2241
4.4836	04:29:01	0.2586	0.3303	0.2894	0.3219	0.3323	0.3811	0.3202	0.3340	0.4200	0.3259	0.3587	0.3207	0.2749	0.2757	0.2753	0.2246
4.5336	04:32:01	0.2569	0.3274	0.2904	0.3213	0.3323	0.3804	0.3217	0.3294	0.4113	0.3290	0.3632	0.3185	0.2780	0.2744	0.2731	0.2218
4.5836	04:35:01	0.2553	0.3253	0.2899	0.3157	0.3313	0.3740	0.3205	0.3340	0.4110	0.3270	0.3733	0.3219	0.2847	0.2729	0.2729	0.2243
4.6336	04:38:01	0.2572	0.3267	0.2885	0.3157	0.3306	0.3730	0.3219	0.3324	0.4084	0.3274	0.3772	0.3181	0.2872	0.2741	0.2745	0.2221
4.6836	04:41:01	0.2563	0.3238	0.2879	0.3121	0.3312	0.3657	0.3204	0.3339	0.4054	0.3248	0.3824	0.3171	0.2990	0.2744	0.2738	0.2203
