		Experiment ID: 1207181144D2
Time-Interval(Hour)	Time-Interval	Y (A3)	Y (A4)	Y (B3)	Y (B4)	Y (C3)	Y (C4)	Y (D3)	Y (D4)	Y (E3)	Y (E4)	Y (F3)	Y (F4)	Y (G3)	Y (G4)	Y (H3)	Y (H4)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	-0.0012	0.0004	0.0011	0.0020	0.0016	-0.0033	0.0006	-0.0011	-0.0023	0.0029	-0.0002	-0.0008	0.0023	-0.0018	-0.0035	0.0004
0.4144	00:24:52	0.2056	0.2133	0.2135	0.2024	0.1875	0.1821	0.1869	0.2033	0.2026	0.2013	0.2042	0.2056	0.2017	0.2103	0.1940	0.2129
0.4647	00:27:53	0.2676	0.2685	0.2768	0.2682	0.2549	0.2495	0.2601	0.2733	0.2729	0.2737	0.2740	0.2753	0.2676	0.2749	0.2528	0.2737
0.5153	00:30:55	0.2687	0.2577	0.3210	0.3169	0.3145	0.2977	0.3209	0.3381	0.3268	0.3309	0.3340	0.3262	0.3087	0.3216	0.2432	0.2603
0.5658	00:33:57	0.1970	0.1908	0.3149	0.3063	0.3234	0.3083	0.3329	0.3494	0.3433	0.3392	0.3377	0.3301	0.2935	0.2883	0.1780	0.2077
0.6164	00:36:59	0.1691	0.1684	0.2771	0.2670	0.3052	0.2907	0.3214	0.3326	0.3238	0.3285	0.3166	0.3099	0.2584	0.2487	0.1571	0.1935
0.6669	00:40:01	0.1566	0.1638	0.2541	0.2514	0.2966	0.2769	0.3120	0.3295	0.3162	0.3256	0.3046	0.2919	0.2370	0.2355	0.1524	0.1947
0.7175	00:43:03	0.1512	0.1606	0.2552	0.2523	0.3037	0.2766	0.3201	0.3411	0.3231	0.3335	0.3070	0.2922	0.2323	0.2417	0.1561	0.1973
0.7681	00:46:05	0.1472	0.1648	0.2678	0.2666	0.3108	0.2914	0.3340	0.3595	0.3370	0.3448	0.3152	0.3074	0.2404	0.2574	0.1586	0.2015
0.8186	00:49:07	0.1492	0.1670	0.2752	0.2838	0.3268	0.3015	0.3463	0.3758	0.3478	0.3652	0.3317	0.3234	0.2475	0.2709	0.1612	0.2040
0.8692	00:52:09	0.1528	0.1740	0.2876	0.2983	0.3389	0.3124	0.3603	0.3955	0.3631	0.3785	0.3459	0.3378	0.2607	0.2854	0.1665	0.2092
0.9197	00:55:11	0.1613	0.1822	0.3035	0.3127	0.3510	0.3237	0.3767	0.4144	0.3778	0.3922	0.3557	0.3550	0.2737	0.2989	0.1729	0.2207
0.9703	00:58:13	0.1790	0.1958	0.3154	0.3234	0.3622	0.3328	0.3874	0.4107	0.3913	0.4043	0.3679	0.3672	0.2820	0.3128	0.1880	0.2342
1.0208	01:01:15	0.1994	0.2094	0.3224	0.3340	0.3716	0.3362	0.3955	0.4181	0.3971	0.4171	0.3778	0.3766	0.2926	0.3187	0.2050	0.2473
1.0714	01:04:17	0.2138	0.2266	0.3282	0.3386	0.3677	0.3387	0.4015	0.4256	0.4052	0.4185	0.3744	0.3846	0.2997	0.3255	0.2192	0.2595
1.1219	01:07:19	0.2312	0.2384	0.3213	0.3398	0.3629	0.3315	0.3961	0.4231	0.4005	0.4198	0.3715	0.3849	0.3045	0.3193	0.2369	0.2679
1.1725	01:10:21	0.2486	0.2504	0.3183	0.3380	0.3568	0.3313	0.3893	0.4139	0.3950	0.4126	0.3650	0.3838	0.3030	0.3160	0.2506	0.2755
1.2231	01:13:23	0.2598	0.2623	0.3176	0.3297	0.3505	0.3306	0.3869	0.4091	0.3900	0.4018	0.3576	0.3829	0.2988	0.3133	0.2596	0.2713
1.2736	01:16:25	0.2693	0.2708	0.3138	0.3237	0.3498	0.3207	0.3820	0.4012	0.3833	0.4020	0.3574	0.3773	0.2980	0.3085	0.2713	0.2697
1.3242	01:19:27	0.2770	0.2771	0.3099	0.3231	0.3437	0.3179	0.3767	0.3946	0.3784	0.3965	0.3520	0.3782	0.2937	0.3049	0.2813	0.2685
1.3747	01:22:29	0.2841	0.2755	0.3105	0.3212	0.3369	0.3176	0.3735	0.3919	0.3765	0.3885	0.3430	0.3759	0.2923	0.3026	0.2854	0.2704
1.4253	01:25:31	0.2802	0.2733	0.3073	0.3186	0.3350	0.3147	0.3696	0.3880	0.3733	0.3838	0.3382	0.3701	0.2884	0.2978	0.2851	0.2682
1.4758	01:28:33	0.2792	0.2713	0.3026	0.3159	0.3310	0.3127	0.3632	0.3816	0.3667	0.3791	0.3366	0.3665	0.2848	0.2925	0.2819	0.2660
1.5264	01:31:35	0.2756	0.2716	0.3005	0.3113	0.3267	0.3075	0.3611	0.3781	0.3617	0.3726	0.3294	0.3607	0.2807	0.2950	0.2791	0.2626
1.5769	01:34:37	0.2766	0.2708	0.2968	0.3082	0.3211	0.3043	0.3583	0.3724	0.3577	0.3654	0.3261	0.3600	0.2774	0.2902	0.2772	0.2592
1.6275	01:37:39	0.2708	0.2689	0.2931	0.3074	0.3168	0.3017	0.3547	0.3691	0.3546	0.3629	0.3215	0.3551	0.2756	0.2894	0.2759	0.2503
1.6781	01:40:41	0.2701	0.2655	0.2923	0.3040	0.3186	0.2994	0.3499	0.3629	0.3513	0.3557	0.3167	0.3511	0.2719	0.2872	0.2735	0.2484
1.8781	01:52:41	0.3331	0.2949	0.3069	0.3133	0.3010	0.2791	0.3078	0.3136	0.2848	0.2857	0.2650	0.2993	0.2256	0.2553	0.2703	0.2435
1.9281	01:55:41	0.3361	0.2887	0.3127	0.3283	0.3174	0.2946	0.3248	0.3358	0.3026	0.3125	0.2842	0.3166	0.2425	0.2715	0.2800	0.2487
1.9786	01:58:43	0.3217	0.2807	0.3117	0.3286	0.3207	0.2988	0.3354	0.3458	0.3101	0.3226	0.2867	0.3249	0.2500	0.2815	0.2692	0.2377
2.0292	02:01:45	0.3009	0.2666	0.2997	0.3229	0.3134	0.2943	0.3386	0.3452	0.3143	0.3304	0.2922	0.3245	0.2480	0.2757	0.2579	0.2234
2.0797	02:04:47	0.2895	0.2642	0.2832	0.3092	0.2995	0.2878	0.3378	0.3379	0.3139	0.3206	0.2896	0.3140	0.2359	0.2646	0.2598	0.2216
2.1303	02:07:49	0.2791	0.2604	0.2732	0.3037	0.2911	0.2815	0.3324	0.3299	0.3046	0.3122	0.2839	0.3051	0.2308	0.2564	0.2642	0.2134
2.1808	02:10:51	0.2732	0.2626	0.2682	0.2983	0.2834	0.2802	0.3294	0.3296	0.3050	0.3025	0.2752	0.2995	0.2286	0.2507	0.2670	0.2094
2.2314	02:13:53	0.2675	0.2643	0.2630	0.3000	0.2821	0.2778	0.3262	0.3236	0.3024	0.2998	0.2745	0.2940	0.2258	0.2420	0.2767	0.2030
2.2819	02:16:55	0.2642	0.2689	0.2604	0.3022	0.2777	0.2778	0.3282	0.3245	0.3034	0.2938	0.2729	0.2880	0.2251	0.2387	0.2853	0.1968
2.3325	02:19:57	0.2641	0.2707	0.2614	0.3031	0.2765	0.2767	0.3317	0.3252	0.3041	0.2873	0.2679	0.2837	0.2229	0.2354	0.2913	0.1922
2.3831	02:22:59	0.2654	0.2712	0.2608	0.3102	0.2768	0.2778	0.3286	0.3227	0.3028	0.2876	0.2690	0.2816	0.2207	0.2309	0.2994	0.1866
2.4336	02:26:01	0.2696	0.2699	0.2675	0.3127	0.2818	0.2780	0.3295	0.3221	0.3016	0.2838	0.2686	0.2801	0.2192	0.2286	0.3032	0.1827
2.4842	02:29:03	0.2774	0.2704	0.2771	0.3155	0.2865	0.2787	0.3332	0.3225	0.3022	0.2860	0.2681	0.2790	0.2184	0.2287	0.3043	0.1818
2.5347	02:32:05	0.2840	0.2683	0.2928	0.3145	0.2959	0.2790	0.3308	0.3219	0.3069	0.2895	0.2641	0.2826	0.2185	0.2346	0.3057	0.1816
2.5853	02:35:07	0.2873	0.2646	0.3046	0.3120	0.3073	0.2796	0.3320	0.3231	0.3093	0.2945	0.2618	0.2893	0.2197	0.2410	0.3031	0.1833
2.6358	02:38:09	0.2921	0.2636	0.3104	0.3100	0.3168	0.2809	0.3325	0.3203	0.3103	0.3029	0.2593	0.2937	0.2188	0.2484	0.3034	0.1866
2.6864	02:41:11	0.2920	0.2608	0.3141	0.3082	0.3206	0.2791	0.3327	0.3227	0.3098	0.3111	0.2600	0.3078	0.2160	0.2613	0.3047	0.1922
2.7369	02:44:13	0.2914	0.2616	0.3109	0.3030	0.3220	0.2770	0.3305	0.3166	0.3110	0.3227	0.2613	0.3137	0.2173	0.2660	0.3081	0.1990
2.7875	02:47:15	0.2894	0.2616	0.3145	0.2989	0.3238	0.2719	0.3319	0.3177	0.3094	0.3247	0.2605	0.3136	0.2164	0.2712	0.3092	0.2039
2.8381	02:50:17	0.2919	0.2708	0.3166	0.3000	0.3217	0.2703	0.3330	0.3182	0.3115	0.3231	0.2576	0.3189	0.2174	0.2740	0.3125	0.2112
2.8886	02:53:19	0.2905	0.2817	0.3144	0.3056	0.3247	0.2688	0.3288	0.3143	0.3101	0.3269	0.2602	0.3209	0.2164	0.2737	0.3201	0.2143
2.9392	02:56:21	0.2895	0.2979	0.3163	0.3096	0.3262	0.2677	0.3324	0.3176	0.3078	0.3259	0.2613	0.3190	0.2149	0.2745	0.3189	0.2151
2.9897	02:59:23	0.2904	0.3185	0.3177	0.3166	0.3234	0.2653	0.3327	0.3181	0.3067	0.3229	0.2575	0.3180	0.2155	0.2773	0.3201	0.2187
3.0403	03:02:25	0.2873	0.3443	0.3157	0.3309	0.3245	0.2651	0.3350	0.3149	0.3034	0.3257	0.2596	0.3204	0.2146	0.2765	0.3218	0.2181
3.0908	03:05:27	0.2882	0.3632	0.3165	0.3531	0.3210	0.2707	0.3357	0.3122	0.3037	0.3236	0.2556	0.3171	0.2176	0.2781	0.3233	0.2214
3.1414	03:08:29	0.2876	0.3662	0.3142	0.3865	0.3208	0.2757	0.3360	0.3116	0.3012	0.3249	0.2541	0.3166	0.2163	0.2768	0.3245	0.2211
3.1919	03:11:31	0.2865	0.3731	0.3121	0.4068	0.3182	0.2853	0.3328	0.3089	0.3006	0.3208	0.2562	0.3176	0.2176	0.2787	0.3235	0.2218
3.2425	03:14:33	0.2847	0.3717	0.3105	0.4222	0.3201	0.2991	0.3288	0.3077	0.2995	0.3244	0.2566	0.3176	0.2148	0.2743	0.3250	0.2195
3.2931	03:17:35	0.2847	0.3786	0.3087	0.4244	0.3183	0.3151	0.3294	0.3045	0.2999	0.3224	0.2551	0.3171	0.2170	0.2732	0.3204	0.2214
3.3436	03:20:37	0.2864	0.3823	0.3103	0.4300	0.3149	0.3228	0.3321	0.3061	0.3037	0.3182	0.2521	0.3144	0.2185	0.2782	0.3189	0.2198
3.3942	03:23:39	0.2823	0.3821	0.3099	0.4397	0.3167	0.3300	0.3295	0.3033	0.3025	0.3194	0.2532	0.3159	0.2161	0.2754	0.3142	0.2172
3.4447	03:26:41	0.2833	0.3793	0.3082	0.4399	0.3162	0.3372	0.3287	0.3006	0.3100	0.3158	0.2532	0.3169	0.2194	0.2759	0.3159	0.2177
3.4953	03:29:43	0.2841	0.3746	0.3071	0.4383	0.3127	0.3469	0.3294	0.3027	0.3188	0.3138	0.2512	0.3141	0.2174	0.2770	0.3184	0.2182
3.5458	03:32:45	0.2818	0.3696	0.3066	0.4394	0.3120	0.3514	0.3285	0.3013	0.3313	0.3135	0.2488	0.3149	0.2179	0.2758	0.3207	0.2179
