		Experiment ID: 1207181138D2
Time-Interval(Hour)	Time-Interval	Y (A3)	Y (A4)	Y (B3)	Y (B4)	Y (C3)	Y (C4)	Y (D3)	Y (D4)	Y (E3)	Y (E4)	Y (F3)	Y (F4)	Y (G3)	Y (G4)	Y (H3)	Y (H4)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	0.0007	-0.0031	-0.0005	-0.0020	-0.0001	0.0002	0.0033	0.0033	0.0037	-0.0019	0.0006	-0.0005	-0.0007	0.0012	0.0012	-0.0015
0.0147	00:00:53	0.6750	0.4663	0.6706	0.6963	1.2239	0.7343	1.3327	0.9607	0.9958	0.2890	1.1358	0.5091	1.1254	0.5532	0.7090	0.5316
26.1822	26:10:56	1.5499	1.1357	2.2323	2.2847	2.6621	2.4169	2.8173	3.1115	3.0786	2.3238	3.1636	2.1118	3.3598	1.7308	1.6538	1.7138
26.2328	26:13:58	1.5519	1.1423	2.2329	2.2894	2.6618	2.4259	2.8206	3.1259	3.0748	2.3316	3.1678	2.1064	3.3753	1.7423	1.6539	1.7196
26.2833	26:17:00	1.5484	1.1416	2.2434	2.2904	2.6731	2.4321	2.8264	3.1257	3.0844	2.3355	3.1756	2.1163	3.3827	1.7427	1.6621	1.7161
26.3339	26:20:02	1.5583	1.1443	2.2482	2.2966	2.6733	2.4348	2.8334	3.1278	3.0936	2.3504	3.1756	2.1215	3.3860	1.7435	1.6626	1.7248
26.3844	26:23:04	1.5544	1.1472	2.2526	2.2993	2.6794	2.4416	2.8370	3.1354	3.0907	2.3533	3.1831	2.1292	3.3984	1.7491	1.6674	1.7272
26.4344	26:26:04	1.5564	1.1506	2.2567	2.3036	2.6798	2.4439	2.8445	3.1346	3.0945	2.3625	3.1870	2.1337	3.4027	1.7534	1.6710	1.7325
26.4850	26:29:06	1.5581	1.1528	2.2615	2.3039	2.6824	2.4522	2.8438	3.1389	3.0957	2.3635	3.1923	2.1360	3.4058	1.7559	1.6734	1.7381
26.5356	26:32:08	1.5625	1.1589	2.2565	2.3100	2.6797	2.4561	2.8410	3.1409	3.0993	2.3703	3.1927	2.1321	3.4161	1.7634	1.6739	1.7444
26.5861	26:35:10	1.5679	1.1579	2.2638	2.3145	2.6871	2.4559	2.8538	3.1329	3.1105	2.3791	3.1899	2.1441	3.4150	1.7611	1.6784	1.7530
26.6367	26:38:12	1.5744	1.1618	2.2653	2.3182	2.6931	2.4635	2.8583	3.1351	3.1137	2.3841	3.1911	2.1453	3.4258	1.7677	1.6768	1.7585
26.6872	26:41:14	1.5779	1.1645	2.2652	2.3240	2.6869	2.4719	2.8574	3.1493	3.1149	2.3869	3.2022	2.1444	3.4431	1.7731	1.6810	1.7632
26.7378	26:44:16	1.5800	1.1654	2.2718	2.3269	2.6923	2.4765	2.8610	3.1470	3.1185	2.3959	3.2057	2.1509	3.4505	1.7717	1.6823	1.7661
