		Experiment ID: 1207171528D3
Time-Interval(Hour)	Time-Interval	Y (A5)	Y (A6)	Y (B5)	Y (B6)	Y (C5)	Y (C6)	Y (D5)	Y (D6)	Y (E5)	Y (E6)	Y (F5)	Y (F6)	Y (G5)	Y (G6)	Y (H5)	Y (H6)
0.0000	00:00:00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0011	00:00:04	-0.0007	-0.0003	-0.0008	0.0006	0.0002	-0.0020	0.0014	0.0004	0.0020	-0.0021	0.0002	-0.0009	0.0009	-0.0004	-0.0002	-0.0005
1.1389	01:08:20	-0.0053	-0.0191	-0.0028	-0.0170	-0.0133	-0.0042	-0.0063	0.0135	-0.0121	-0.0262	-0.0166	-0.0293	-0.0091	-0.0175	-0.0025	-0.0103
1.1892	01:11:21	-0.0016	-0.0164	0.0062	-0.0045	0.0017	0.0137	0.0086	0.0140	0.0011	-0.0034	-0.0008	-0.0059	0.0050	-0.0051	-0.0007	-0.0043
1.2394	01:14:22	0.0003	-0.0132	0.0192	0.0104	0.0201	0.0337	0.0280	0.0350	0.0199	0.0164	0.0109	0.0080	0.0120	0.0085	-0.0018	-0.0027
1.2894	01:17:22	0.0014	-0.0139	0.0219	0.0166	0.0265	0.0396	0.0423	0.0459	0.0348	0.0222	0.0225	0.0213	0.0181	0.0130	-0.0013	-0.0053
1.3394	01:20:22	0.0020	-0.0127	0.0234	0.0189	0.0348	0.0466	0.0496	0.0510	0.0423	0.0327	0.0306	0.0247	0.0169	0.0136	-0.0012	-0.0022
1.3894	01:23:22	0.0003	-0.0146	0.0227	0.0204	0.0352	0.0471	0.0563	0.0578	0.0513	0.0365	0.0367	0.0296	0.0210	0.0180	-0.0006	-0.0025
1.4394	01:26:22	0.0022	-0.0140	0.0219	0.0214	0.0369	0.0502	0.0586	0.0565	0.0501	0.0446	0.0358	0.0336	0.0197	0.0155	-0.0019	-0.0004
1.4894	01:29:22	0.0018	-0.0156	0.0220	0.0211	0.0369	0.0530	0.0591	0.0609	0.0505	0.0464	0.0399	0.0376	0.0200	0.0167	-0.0036	-0.0008
1.5394	01:32:22	0.0021	-0.0155	0.0221	0.0196	0.0365	0.0548	0.0610	0.0621	0.0542	0.0511	0.0400	0.0384	0.0232	0.0190	-0.0034	0.0008
1.5894	01:35:22	0.0002	-0.0153	0.0246	0.0242	0.0383	0.0560	0.0637	0.0665	0.0581	0.0532	0.0402	0.0377	0.0223	0.0226	-0.0026	0.0011
1.6394	01:38:22	0.0004	-0.0132	0.0246	0.0234	0.0405	0.0580	0.0625	0.0664	0.0564	0.0557	0.0390	0.0394	0.0222	0.0217	-0.0031	0.0023
1.6894	01:41:22	-0.0005	-0.0130	0.0264	0.0244	0.0387	0.0570	0.0652	0.0702	0.0585	0.0547	0.0413	0.0390	0.0239	0.0230	-0.0004	0.0010
