,,Experiment ID: 1302071106D2,,,,,,,,,,,,,,,
Time-Interval(Hour),Time-Interval,Y (A3),Y (A4),Y (B3),Y (B4),Y (C3),Y (C4),Y (D3),Y (D4),Y (E3),Y (E4),Y (F3),Y (F4),Y (G3),Y (G4),Y (H3),Y (H4)
24.6825,24:40:57,0.9388,0.9495,0.9475,0.9773,0.9414,0.9729,0.9492,0.9082,0.958,0.9778,0.9579,0.9689,0.9633,0.9639,0.934,0.9326
24.8492,24:50:57,0.9469,0.9551,0.954,0.9796,0.9477,0.9769,0.9555,0.9135,0.9626,0.9791,0.963,0.9721,0.9666,0.9708,0.941,0.9385
25.0158,25:00:57,0.9552,0.961,0.9604,0.9799,0.9537,0.9812,0.9605,0.917,0.9676,0.9808,0.9675,0.9763,0.9699,0.9726,0.9487,0.9411
25.1825,25:10:57,0.9635,0.9677,0.9641,0.981,0.9602,0.9839,0.9652,0.9215,0.9729,0.9813,0.9716,0.9772,0.9714,0.977,0.9549,0.9451
25.3492,25:20:57,0.9692,0.9731,0.969,0.9817,0.9693,0.9855,0.9701,0.9263,0.9773,0.9836,0.9743,0.9772,0.9741,0.9788,0.961,0.9498
25.5158,25:30:57,0.9762,0.9771,0.9734,0.9826,0.9747,0.9873,0.9744,0.9306,0.9828,0.9856,0.9776,0.9788,0.9753,0.9806,0.9668,0.9519
25.6825,25:40:57,0.9845,0.9817,0.977,0.985,0.9786,0.9915,0.9786,0.934,0.9861,0.9867,0.9802,0.9822,0.9773,0.9823,0.97,0.9542
25.8225,25:49:21,0.9887,0.9867,0.9795,0.9854,0.9821,0.9932,0.9832,0.9355,0.9894,0.9876,0.9807,0.9823,0.9783,0.9859,0.9727,0.9573
25.8239,25:49:26,0.9899,0.9867,0.9795,0.9861,0.9812,0.9935,0.9833,0.9358,0.9884,0.9878,0.9807,0.9829,0.9781,0.9855,0.9724,0.9575
